index	type	text_english	text_ES	Go To	conditions	actions
26,priest	Q	[BLUE](this Adaon also looked older than the others, had a beard and was dressed in a priest's outfit)[] We all come to faith one day. And I was once a scoundrel, until my evil deeds led me to a ditch where I lay bleeding to death not far from Nivar. And then, when I said goodbye to the light, I saw Her, the Goddess herself appeared to me! Whether it was a dream or reality, it doesn't matter, She breathed life into me, not allowing my heart to stop forever.	port?	27			
27,priest	Q	The priests from Nivarian found me and took me to the city, where they patched me up. After my recovery, I devoted myself to the faith of the Three, diligently studied all the knowledge and rituals, helped all those who were suffering, fought against dark forces, and eventually even awakened the powers of a cleric in me!..	port?	28			
28,outlaw	Q	That's a great story, gramps, I'm usually used to hearing this kind of speech from beggars. I'm much more interested, but is this thing also one of us?!	port?	29			
29,batrax	Q	[BLUE](creature he pointed at was clearly a batrax, but strangely enough, there was a resemblance to Adaon in the features of its face)[] You're a thing yourself! I'll be more human, unlike you! I am Adaon, do not be surprised, in my world there was a major war between the inhabitants of the land and the sea. The mighty batrax sorcerers used powerful spells to turn people into batraxes, and I was one of the victims.	port?	30			
30,batrax	Q	The war was lost and no one reversed the spell, so I remained a batrax, but I didn't get upset about it, my friend, who also turned into a batrax, managed to become the king of the underwater kingdom and make peace between the two nations. So even though I'm a batrax, I live in an underwater palace where I have my own harem, and in general, everything is fine with me!	port?	31			
31,outlaw	Q	If I were a frog, I would hardly say that I am happy with such a life!	port?	32			
32,adaon2	Q	Okay, kings, priests, murderers, frogs, but what the fuck, how is this possible?!	port?	33			
33,girl	Q	[BLUE](he pointed to a woman who clearly resembled Adaon in features)[] Well, one day I crossed the path of a very vindictive and vindictive magician with unhealthy fantasies. I don't want to remember everything he did to me with his charms again, but since then I've become like this and I haven't been able to return to my former form.	port?	34			
34,girl	Q	But I got used to my body a long time ago, found a man, and we had children. Now I'm living peacefully, having forgotten about my past life, and yes, now I'm called Ada.	port?	35			
35,outlaw	Q	Oh, and that potential was lost!	port?	36			
36,king	Q	Shut up already! Hey, you're going to be messing with this thing for a long time, I'm the king after all, I have a lot of things to do at home, I have to get back as soon as possible!	port?	37			
37	A	Don't distract Adaon from his work, he's already trying to get faster here.	port?	38		
38,king	Q	Yes, of course, that's just it... Wait! I know you! You're the most famous hero in my kingdom! We've known each other for a long time, so I appointed you general of the Varsilia army. But you died during the recent war with Mercia, when you were covering our retreating troops from Jabal. I'll take you with me, all our soldiers will be inspired when they see their great hero return, and we'll defeat those damn mercians!	port?	39			
39,priest	Q	It's a blessing! And I recognize you, the closest confidant of our holy Queen Hirgalanda, you disappeared together in that terrible shipwreck, but after the loss of our queen, your return will be a good sign for Ilmara, and the queen's successor will receive an excellent mentor!	port?	40			
40,outlaw	Q	Oh, this is my main accomplice, the two of us kept all the kingdoms at bay, ordinary people did not dare to name our names, and the kings were ready to give a fortune for our heads! It's a pity that you died in that ambush, even though I managed to escape... Well, can we go back and shake up the old days?!	port?	41			
41,batrax	Q	I recognize you too, my friend, even though you're back in human form and have become a woman! Thanks to you, peace has been established between humans and batraxes, although the old nobles did not accept that you became the king of the underwater kingdom and treacherously killed you. How the queen and your children will be happy to see you again, even in the human form of a woman, but it can be easily fixed!	port?	42	"PlayerIsFemale#"		
41,batrax	Q	I recognize you too, my friend, even though you're back in human form! Thanks to you, peace has been established between humans and batraxes, although the old nobles did not accept that you became the king of the underwater kingdom and treacherously killed you. How the queen and your children will be happy to see you again, even in human form, but it can be easily fixed!	port?	42	"PlayerIsMale#"		
42,girl	Q	Oh, is that really you, my husband? Have you been turned into a woman too? After that terrible plague that took your life, I never could have hoped to see you again!	port?	43	"PlayerIsFemale#"		
42,girl	Q	Oh, is that really you, my husband? After that terrible plague that took your life, I never could have hoped to see you again!	port?	43	"PlayerIsMale#"		
43,adaon2	Q	I think I recognize you, you're one of the heroes I had to rob on the forest road, if you come back with me, you'll help me leave that damn place!	port?	44			
44,prime	Q	I remember you too, you're the hero who was supposed to wear this armor. We will return to my dead world, and I will hand them over to you and finally get rid of my burden.	port?	45			
45,adaon	Q	[BLUE](suddenly, Adaon stepped forward)[] Get the hell away from him! This hero is mine, and you've wasted yours, so fuck off, I'm not sharing him with you!	port?	46			
46,outlaw	Q	Hey, who are you in this world?	port?	47			
47,adaon	Q	I am a hero, and together with my friend we are making this world a better place!..	port?	48			
48,scientist	Q	Damn it, I can't make it! He spotted us!	port?	0		"NPCSpawn#magister2;SetVariable#hate_through,75"		
49,king	Q	Who is this man? He looks dangerous.	port?	50			
50,adaon	Q	This is a freak who is looking for and killing our variants in all worlds.	port?	51			
51,priest	Q	Why this violence!?	port?	52			
52,adaon3	Q	Yes, man, we can agree, why should we fight?!	port?	53			
53,outlaw	Q	Shut up, weaklings, he doesn't look like someone you can negotiate with!	port?	54			
54,prime	Q	Finally, a worthy opponent, maybe by absorbing him, I will satisfy my hunger, and if I die, I will find peace.	port?	55			
55	A	Hey, why are you hunting Adaons at all?	port?	56		
56,magister2	Q	I'm not going to explain anything to an ordinary hero, I'll just say one thing, I was on that forest road once too. And now all the Adaons in this room are going to die!	port?	57			
57,scientist	Q	Hold him back, I need time to send him to a reality he can't get out of!	port?	58			
58	A			0		"NPCHostile#magister2;SetVariable#hate_through,77"		
