tag	english	spanish	RU	PT	DE	PL	CZ	TK	IT	FR
GENDER	Gender	Género	Пол	Gênero	Geschlecht	Płeć	Pohlaví	Cinsiyet	Sesso	
MALE	Male	Masculino	Мужчина	Masculino	Männlich	Mężczyzna	Muž	Erkek	Maschio	
FEMALE	Female	Femenino	Женщина	Feminino	Weiblich	Kobieta	Žena	Kadın	Femmina	
CHOOSE_PORTRAIT	Choose Portrait	Escoge Retrato	Выберите Внешность	Escolha sua foto	Wähle ein Portrait	Wybierz portret	Vyber si vzhled	Resim Seç	Scegli un Ritratto	
WARRIOR	Warrior	Guerrero	Воин	Guerreiro	Krieger	Wojownik	Válečník	Savaşçı	Guerriero	
ROGUE	Rogue	Ladrón	Плут	Ladino	Dieb	Łotrzyk	Darebák	Düzenbaz	Ladro	
CLERIC	Cleric	Clérigo	Клерик	Clérigo	Kleriker	Kleryk	Klerik	Rahip	Chierico	
MAGE	Mage	Mago	Маг	Mago	Magier	Mag	Čaroděj	Büyücü	Mago	
MONSTER	Monster	Monstruo	Монстр	Monstro	Monster	Potwór	Monstrum	Canavar	Mostro	
GENERAL_CLASS	General	General	Основные	General	Allgemeine	Ogólne	Hlavní	Genel	Generale	
CLASS_ALL	All	Todas	Все	Todos	Alle	Wszystkie	Všechny	Hepsi	Tutto	
SLOT_NONE	none	ninguno	пусто	nenhum	Nichts	brak	Nic	Hiçbiri	Nessuno	
DIFFICULTY_LEVEL	Difficulty Level	Nivel de Dificultad	Уровень сложности	Nível de Dificuldade	Schwierigkeitsgrad	Poziom trudności	Úroveň obtížnosti	Zorluk Seviyesi	Livello di difficoltà	
DL_CASUAL	Casual	Casual	Легкий	Casual	Einfach	Łatwy	Lehký	Basit	Facile	
DL_NORMAL	Normal	Normal	Средний	Normal	Normal	Normalny	Normální	Normal	Normale	
DL_HARD	Hard	Difícil	Сложный	Difícil	Schwer	Wymagający	Těžký	Zor	Difficile	
DL_IRONMAN	Iron Man	Iron Man	Железный человек	Homem de Ferro	Iron Man	Iron Man	Iron Man	Demir Adam	Iron Man	
LEVEL	Level	Nivel	Уровень	Nível	Stufe	Poziom	Úroveň	Seviye	Livello  	
CLASS	Class	Clase	Класс	Classe	Klasse	Klasa	Třída	Sınıf	Classe	
ATTACK_STATS	Attack Stats	Información de Ataque	Статистика атаки	Informações de Ataque	Angriffswerte	Statystyki ataku	Útočné staty	Saldırı Bilgileri	Statistiche di Attacco	
UNARMED	bare fists	puños	Без оружия	desarmado	Unbewaffnet	gołe pięści	Holé pěsti	Yumruk	Disarmato	
DAMAGE	Damage	Daño	Урон	Dano	Schaden	Obrażenia	Poškození	Darbe	Danno	
DAMAGE_BONUS	Damage bonus	Bonus al daño	Бонусный урон	Bônus de Dano	Schadensbonus	Bonus do obrażeń	Bonus k poškození	Ek darbe	Danno bonus	
SPEED	Speed	Rapidez	Скорость	Velocidade	Tempo	Szybkość	Rychlost	Hız	Velocità	
WEAPON_SPEED	Weapon Speed	Rapidez ataque	Скорость атаки	Velocidade da Arma	Angriffstempo	Szybkość broni	Rychlost zbraně	Silah Hızı	Velocità d'attacco	
CRITICAL	Critical	Crítico	крит.	Crítico	Kritisch	Krytyczne	Kritický úder	Kritik	Critico	
DPS	DPS	DPS	УВС	DPS	DPS	ONS	PZS	SBD	DPS	
EFFECT	Effect	Efecto	Эффект	Efeito	Effekt	Efekt	Efekt	Etki	Effetto	
ARMOR	Armor	Armadura	Броня	Armadura	Rüstung	Pancerz	Zbroj	Zırh	Armatura	
RESISTANCES	Resistances	Resistencias	Сопротивления	Resistências	Resistenzen	Odporności	Odolnosti	Dirençler	Resistenze	
RESIST	Resist.	Resist.	Сопрот.	Resist.	Resist.	Odporn.	Odolnost	Direnç	Resist.	
EQUIPMENT	Equipment	Equipo	Снаряжение	Equipamento	Ausrüstung	Wyposażenie	Vybavení	Ekipman	Equipaggiamento	
BACKPACK	Backpack	Mochila	Рюкзак	Mochila	Rucksack	Plecak	Batoh	Çanta	Zaino	
JOURNAL	Journal	Diario	Журнал	Diário	Tagebuch	Dziennik	Deník	Günlük	Diario	
SKILLS	Skills	Habilidades	Умения	Habilidades	Fertigk.	Umiejętności	Dovednosti	Yetenekler	Abilità	
CRAFTS	Crafts	Artesanías	Ремёсла	Ofícios	Handwerk	Wytwarzanie	Řemesla	Zaanatlar	Artigianato	
SKILLS_LIST	Skills	Habilidades de	Умения	Lista de Habilidades	Fertigkeiten	Umiejętności	Dovednosti	Yetenek Listesi	Abilità 	
CHOOSE_SKILL_SLOT	Choose a Skill Slot	Escoge un Slot	Выберите навык	Escolha um Slot	Slot auswählen	Wybierz slot umiejętności	Vybrat slot pro dovednost	Bir yetenek yuvası seç	Scegli uno Slot	
UNTRAINED_SKILL	You haven't trained this skill yet	Aun no has entrenado esta habilidad	Вы еще не освоили этот навык	Você não possui essa habilidade	Du hast diese Fertigkeit noch nicht erworben.	Nie posiadasz jeszcze tej umiejętności	Tuto dovednost ses ještě nenaučil	Bu yeteneği henüz öğrenmedin	Non hai ancora imparato questa abilità	
TAVERN_RUMOR	Tavern Rumor	Rumor de Taberna	Слух в таверне	Rumor de Taverna	Kneipengerüchte	Plotki w karczmie	Hospodské fámy	Han Söylentisi	Pettegolezzi	
EQUIP	Equip	Equipar	Экипировать	Equipar	Ausrüsten	Załóż	Vybavit	Kuşan	Equipaggia 	
UNEQUIP	Unequip	Quitar	Снять	Desequipar	Ablegen	Zdejmij	Sejmout	Çıkar	Togli	
DROP	Drop	Tirar	Выбросить	Descartar	Wegwerfen	Upuść	Odhodit	At	Butta	
STORE_CONTAINER	Store	Dejar	Выложить	Guardar	Verstauen	Sklep	Uložit	Depola	Deposita	
SELL	Sell	Vender	Продать	Vender	Verkaufen	Sprzedaj	Prodat	Sat	Vendi	
BUY	Buy	Comprar	Купить	Comprar	Kaufen	Kup	Koupit	Satın Al	Compra	
USE	Use	Usar	Использовать	Usar	Benutzen	Użyj	Použít	Kullan	Usa	
TAKE	Take	Coger	Взять	Pegar	Nehmen	Weź	Vzít	Al	Prendi	
TAKE_ALL	Take All	Coger todo	Взять все	Pegar tudo	Alles nehmen	Weź wszystko	Vzít vše	Hepsini Al	Prendi tutto	
BACK	Back	Volver	Назад	Voltar	Zurück	Wróć	Zpět	Geri	Indietro	
NEXT	Next	Siguiente	Вперед	Próximo	Nächste	Dalej	Další	İleri	Avanti	
RESET	Reset	Restablecer	Сбросить	Reiniciar	Zurücksetzen	Resetuj	Reset	Sıfırla	Resetta	
BACK_TO_GAME	Back to Game	Volver al Juego	вернуться в игру	Voltar ao Jogo	Zurück zum Spiel	Wróć do gry	Zpět do hry	Oyuna Dön	Torna al gioco	
RELOAD_FROM_LAST_SLEEP	Reload from last Sleep	Cargar último descanso	Загрузить с последнего отдыха	Carregar do último sono	Von letzter Rast laden	Wczytaj od ostatniego snu	Načíst od posledního spaní	Son dinlenmeden geri yükle	Carica ultimo salvataggio	
SAVE_EXIT	Save and Exit	Guardar y Salir	Сохранить и выйти	Salvar e Sair	Speichern & Beenden	Zapisz i wyjdź	Uložit a odejít	Kaydet ve Çık	Salva ed Esci	
SAVE_GAME	Save	Guardar	Сохранить	Salvar	Speichern	Zapisz	Uložit	Kaydet	Salva	
LOAD_GAME	Load	Cargar	Загрузить	Carregar	Laden	Wczytaj	Načíst	Yükle	Carica	
IN_PROGRESS	In progress	En progreso	В процессе	Em progresso	Offen	W trakcie	Probíhá	Devam ediyor	In progresso	
COMPLETED	Completed	Completadas	Завершено	Completado	Abgeschlossen	Ukończono	Hotovo	Tamamlandı	Completato	
AVAILABLE_SKILL_POINTS	Available Skill Points	Puntos de Habilidad disponibles	Доступные очки навыков	Pontos de Habilidade Disponíveis	Verfügbare Fertigkeitspunkte	Dostępne punkty umiejętności	Dostupné dovednostní body	Mevcut yetenek puanları	Punti Abilità Disponibili	
YOU_ALREADY_USED	You already used	Ya has utilizado	Вы уже использовали	Você já usou	Bereits eingesetzt:	Wykorzystano	Již jsi použil	Zaten kullandın	Hai già usato	
POINTS	Points	Puntos	Очки	Pontos	Punkte	punktów	Body	Puanlar	Punti  	
SECONDS	seconds	segundos	секунды	segundos	Sekunden	sekund	vteřiny	Saniye	Secondi	
CURRENT_LEVEL	Current level	Nivel actual	Текущий уровень	Nível atual	Aktuelle Stufe	Obecny poziom	Současná úroveň	Şu anki seviye	Livello attuale	
NEXT_LEVEL	Next level	Siguiente nivel	Следующий уровень	Próximo nível	Nächste Stufe	Kolejny poziom	Další úroveň	Sonraki seviye	Prossimo livello	
MAX_LEVEL_REACHED	Maximum level reached	Nivel máximo alcanzado	Достигнут высший уровень	Nível máximo alcançado	Maximale Stufe erreicht	Osiągnięto maksymalny poziom	Maximální úroveň dosažena	Ulaşılan en üst seviye	Livello massimo raggiunto	
TRAIN	Train	Entrenar	Тренировать	Treinar	Erlernen	Ćwicz	Naučit	Öğren	Impara	
ACTIVE_SKILL	Active Skill	Habilidad Activa	Активное Умение	Habilidade Ativa	Aktive Fertigkeit	Umiejętność aktywna	Aktivní dovednost	Aktif Yetenek	Ablità Attiva	
PASSIVE_SKILL	Passive Skill	Habilidad Pasiva	Пассивное Умение	Habilidade Passiva	Passive Fertigkeit	Umiejętność pasywna	Pasivní dovednost	Pasif Yetenek	Abilità Passiva	
SPECIALIST_SKILLS	Advanced Skills	Habilidades Avanzadas	Продвинутые Умения	Habilidades Avançadas	Fortgeschrittene Fertigkeiten	Umiejętności specjalistyczne	Pokročilá úroveň	Gelişmiş Yetenekler	Abilità Avanzate	
GENERAL_SKILLS	General Skills	Habilidades Generales	Основные Умения	Habilidades Gerais	Allgemeine Fertigkeiten	Umiejętności ogólne	Hlavní úroveň	Genel Yetenekler	Abilità Generali	
ACTIVE_SKILLS	Select active skills	Seleccionar Habilidades Activas	Выберите активные умения	Selecionar habilidades ativas	Aktive Fertigkeiten wählen	Wybierz aktywne umiejętności	Vyber aktivní dovednosti	Aktif yetenek seç	Seleziona le abilità attive	
YOU_ENTERED	You entered	Entrando en	Вы вошли	Entrando em	Du betrittst	Jesteś w	Vstoupil si	Girdin	Sei entrato in	
GAME_OVER	Game Over	Te han vencido...	Игра Окончена	Fim de Jogo	Du wurdest besiegt...	Koniec gry	Konec hry	Oyun bitti	Sei stato sconfitto...	
LEVEL_UP	LEVEL UP!	Subes de Nivel!	НОВЫЙ УРОВЕНЬ!	Subiu de Nível!	Stufe aufgestiegen!	Nowy poziom!	O úroveň výš!	Seviye atladın!	Sei salito di livello!	
QUEST_UPDATED	Journal updated	Diario actualizado	Журнал обновлён	Diário atualizado	Tagebuch aktualisiert	Zaktualizowano dziennik	Deník aktualizován	Günlük güncellendi	Diario aggiornato	
BUY_DRINKS	Buy some drinks	Comprar algo de beber	Заказать пару кружек	Comprar algo de beber	Einen ausgeben	Postaw kolejkę	Kup nějaké pití	Birkaç içki ısmarla	Offri qualche bibita	
REST_12	Rest for 12 hours	Descansar 12 horas	Отдыхать 12 часов	Descansar 12 horas	12 h ausruhen	Odpocznij przez 12 godzin	Odpočívej 12 hodin	12 saat dinlen	Riposa 12 ore	
REST_6	Rest for 6 hours	Descansar 6 horas	Отдыхать 6 часов	Descansar 6 horas	6 h ausruhen	Odpocznij przez 6 godzin	Odpočívej 6 hodin	6 saat dinlen	Riposa 6 ore	
WAIT_DAWN	Wait until dawn	Esperar a que amanezca	Подождать до заката	Esperar amanhecer	Bis Sonnenuntergang warten	Poczekaj do wschodu	Počkej do svítání	Şafağa kadar bekle	Attendi fino all'alba	
WAIT_SUNSET	Wait until sunset	Esperar a que anochezca	Подождать до рассвета	Esperar anoitecer	Bis Sonnenaufgang warten	Poczekaj do zachodu	Počkej do západu slunce	Gün batımına kadar bekle	Attendi fino al tramonto	
LEAVE	Leave	Salir	Дальше	Sair	Verlassen	Wyjdź	Opustit	Ayrıl	Abbandona	
CONTINUE	Continue	Continuar	Продолжить	Continuar	Fortsetzen	Kontynuuj	Pokračovat	Devam et	Continua	
LANGUAGE	Language	Idioma	Язык	Idioma	Sprache	Język	Jazyk	Dil	Lingua	
OK	OK	Aceptar	Да	Aceitar	Ok	OK	Ok	Tamam	Ok	
YOU_FOUND	You found:	Has encontrado:	Вы нашли:	Você encontrou:	Gefunden:	Znaleziono:	Našel jsi	Buldun:	Hai trovato:	
SOUND_VOLUME	Sounds Volume	Volumen de sonidos	Громкость звуков	Volume do Som	Lautstärke Sound	Głośność dźwięków	Hlasitost efektů	Ses Seviyesi	Volume dei Suoni	
MUSIC_VOLUME	Music Volume	Volumen de música	Громкость музыки	Volume da Música	Lautstärke Musik	Głośność muzyki	Hlasitost hudby	Müzik Seviyesi	Volume della Musica	
CONTROLS_SIZE	UI controls size	Tamaño de controles	Размер иконок управления	Tamanho dos Controles	Schaltflächengröße	Wielkość przycisków interfejsu	Velikost ovládání	Tuş Büyüklüğü	Dimensione Controlli	
UNKNOWN_LOCATION	in an unknown location	en algún lugar desconocido	в неизвестной локации	em um lugar desconhecido	an einem unbekannten Ort	w nieznanej lokacji	v neznáme lokaci	Bilinmeyen bir yerde	In un luogo sconosciuto	
QUEST_FAILED	Quest failed,	Misión fallida,	Задание провалено,	Missão falhada,	Aufgabe gescheitert,	Nie ukończono zadania	Úkol nesplněn,	Görev başarısız oldu	Missione Fallita,	
QUEST_COMPLETED	Quest completed!	Misión cumplida!	Задание выполнено!	Missão cumprida!	Aufgabe abgeschlossen!	Zadanie ukończone!	Úkol dokončen!	Görev tamamlandı	Missione Completata!	
RECEIVE_REWARD	You receive your reward	Recibes tu recompensa	Вы получили награду	Você recebeu sua recompensa	Du hast deine Belohnung erhalten	Otrzymujesz swoją nagrodę	Obdržel jsi odměnu	Ödülünü aldın	Ricevi la tua ricompensa	
QUESTS	Quests	Misiones	Задания	Missões	Aufgaben	Zadania	Úkoly	Görevler	Missioni	
AUDIENCE	Request audience	Pedir audiencia	Попросить аудиенции	Pedir audiência	Audienz erbitten	Poproś o audiencję	Požádej o audienci	Görüşme talep et	Chiedi udienza	
RANK	Rank	Rango	Ранг	Rank	Rang	Ranga	Hodnost	Sıralama	Rango	
FINE	Pay fine	Pagar multa	Заплатить штраф	Pagar multa	Strafe bezahlen	Zapłać grzywnę	Uhraď škodu	Rüşvet ver	Paga multa	
AVAILABLE_QUESTS	Available quests	Misiones disponibles	Доступные задания	Missões disponíveis	Verfügbare Aufträge	Dostępne zadania	Dostupné úkoly	Uygun Görevler	Missioni disponibili	
ACCEPT_QUEST	Accept quest	Aceptar misión	Принять задание	Aceitar missão	Akzeptieren	Akceptuj zadanie	Přijmi úkol	Görevi kabul et	Accetta missione	
QUEST_TIME	This quest must be completed in less than	Esta misión se debe completar en menos de	Это задание должно быть выполнено менее чем за	Essa missão deve ser cumprida em menos de	Verfügbare Zeit für diesen Auftrag:	To zadanie musi zostać ukończone w mniej niż	Tento úkol musí být splněn za méně než	Bu görev şu süre içinde tamamlanmalı,	Questa missione deve essere completata entro 	
RUMOR_TIME	This rumor will expire in	Este rumor caduca en	Этот слух теряет ценность через	Este rumor espira em	Dieses Gerücht wird ablaufen in:	Plotka będzie nieważna za	Tato zvěst bude neaktuální za	Bu söylenti şu süre içinde kaybolacak,	Questa voce scadrà in	
DAYS	days	días	дней	dias	Tage	dni	dny	Gün	Giorni	
HOURS	hours	horas	часов	horas	Stunden	godzin	hodiny	Saat	Ore	
GOLD_COINS	gold coins	monedas de oro	золотых монет	moedas de ouro	Goldmünzen	złotych monet	zlaté mince	Altın	Monete d'oro	
DRINK	You spend a couple hours at the tavern, drinking and keeping an ear open for any news or rumors.	Pasas un par de horas en la taberna, bebiendo y escuchando noticias o rumores.	Вы провели пару часов в таверне, выпивая и вслушиваясь в разговоры окружающих	Você passa algumas horas na taverna, bebendo e escutando notícias ou rumores.	Du verbringst einige Stunden im Wirtshaus, trinkst und hörst dich nach irgendwelchen Neuigkeiten oder Gerüchten um.	Postanawiasz spędzić kilka godzin w gospodzie pijąc i nasłuchując potencjalnych plotek.	Strávil si několik hodin v hospodě, pijící a s nastraženýma ušima jestli se někdo nězmíní o novinkách nebo fámách.	Handa birkaç saat geçirdin. Biraz içtin ve kulağını herhangi bir haber veya söylenti için açık tuttun.	Spendi un paio di ore alla taverna, bevendo e ascoltando tutte le novità e voci.	
GOSSIP	Gossip at the tavern	Rumores en la taberna	Слухи в таверне	Conversar na taverna	Im Wirtshaus tratschen	Nasłuchuj plotek w gospodzie	Drby v hospodě	Handa söylentileri dinle	Ascolta pettegolezzi	
REPUTATION	Reputation	Reputación	Репутация	Reputação	Reputation	Reputacja	Reputace	Şöhret	Reputazione	
ARCH-ENEMY	Arch-enemy	Archienemigo	Заклятый враг	Arqui-inimigo	Erzfeind	Arcy-wróg	Úhlavní nepřítel	Kadim düşman	Arcinemico	
ENEMY	Enemy	Enemigo	Враг	Inimigo	Feind	Wróg	Nepřítel	Düşman	Nemico	
CRIMINAL	Criminal	Criminal	Преступник	Criminoso	Krimineller	Złoczyńca	Kriminálník	Suçlu	Criminale	
BANDIT	Bandit	Bandido	Разбойник	Bandido	Bandit	Bandyta	Bandita	Haydut	Bandito	
RASCAL	Rascal	Granuja	Жулик	Patife	Gauner	Łajdak	Rošťák	Sevilmeyen	Mascalzone	
UNKNOWN	Unknown	Desconocido	Неизвестный	Desconhecido	Unbekannt	Nieznany	Neznámý	Tanınmıyor	Sconosciuto	
FRIENDLY	Friendly	Amigable	Дружественный	Amigável	Freund	Przyjazny	Přítel	Dost	Amichevole	
TRUSTED	Trusted	De Confianza	Известный	Confiável	Vertrauter	Zaufany	Prověřený	Güvenilir	Fidato	
HERO	Hero	Héroe	Герой	Herói	Held	Bohater	Hrdina	Kahraman	Eroe	
GREAT_HERO	Great hero	Gran Héroe	Великий герой	Grande Herói	Großheld	Wielki bohater	Velký hrdina	Büyük kahraman	Grande Eroe	
LEGENDARY_HERO	Legendary hero	Héroe legendario	Легендарный герой	Herói Lendário	Legendärer Held	Legendarny bohater	Legendární hrdina	Efsanevi kahraman	Eroe Leggendario	
FACTION	Faction	Facción	Фракция	Facção	Fraktion	Frakcja	Frakce	Kısım	Fazione	
ACTIVE_EFFECTS	Active Effects	Efectos Activos	Активные Эффекты	Efeitos Ativos	Aktive Effekte	Aktywne efekty	Aktivní efekty	Aktif Etkiler	Effetti Attivi	
DEVELOPED	Programming, design, writing	Programación, diseño y textos	Программирование, дизайн, текст	Programação, design, textos	Programmierung, Design & Text	Programowanie, grafika oraz scenariusz	Programování, návrh, psaní	Programlama, dizayn, hikaye	Programmazione, Disegno e Testo	
ADDITIONAL_DESIGN	Additional design	Diseño adicional	Дополнительный дизайн	Design adicional	Zusätzliches Design	Dodatkowe grafiki	Další návrh	Ek dizayn	Disegno addizionale	
INTRO_THEME	Intro theme	Música de la introducción	Тема заставки	Música da introdução	Thema des Intros	Motyw z intro	Úvodní znělka	Giriş müziği	Musica d'introduzione	
OPEN_ASSETS	This game includes many open assets, which you can fully see and download here	Este juego incluye muchos recursos abiertos, que puedes consultar y descargar aquí	У этой игры много открытых ресурсов, которые Вы можете полностью увидеть и скачать здесь	Esse jogo inclui muitos recursos abertos, os quais você pode ver por completo e fazer download aqui	Dieses Spiel beinhaltet viele frei verfügbare Ressourcen, welche hier betrachtet und heruntergeladen werden können	Gra zawiera wiele ogólnodostępnych plików, które można przeglądać i pobierać stąd	Tato hra zahrnuje mnoho otevřených součástí, jež můžeš plně vidět a stáhnout zde	Bu oyun birçok açık kaynak kullanmaktadır. Tamamını buradan görüp indirebilirsiniz	Questo gioco include molti contenuti liberi, che puoi vedere e scaricare qua	
CREDITS	Credits	Créditos	Благодарности	Créditos	Mitwirkende	Autorzy	O hře	Katkı Sağlayanlar	Crediti	
INCOMPATIBLE_FILE	Incompatible Save	Juego incompatible	Несовместимое Сохранение	Jogo Incompatível	Inkompatibler Spielstand	Zapis niekompatybilny	Nekompatibilní uložení	Uyumsuz Kayıt	Salvataggio Incompatibile	
FIRE	fire	fuego	огонь	fogo	Feuer	ogień	Oheň	Ateş	Fuoco	
COLD	cold	frío	холод	gelo	Kälte	chłód	Chlad	Soğuk	Gelo	
SHOCK	shock	shock	разряд	eletricidade	Schock	prąd	Výboj	Şok	Tuono	
DEATH	death	muerte	тлен	morte	Tod	śmierć	Smrt	Ölüm	Morte	
TOXIC	toxic	tóxico	яд	tóxico	Gift	toksyny	Jed	Zehir	Veleno	
SPIRIT	spirit	espíritu	духовный	espírito	Geisteskraft	bieg	Duch	Ruh	Spirito	
HITS	hits	hiere a	атакует	acertou	trifft	uderzenia	Údery	vurdu	Colpisce	
HIT	hit	hieres a	атакуете	acertou	triffst	uderzenie	Úder	vurdu	Colpisci	
DIED	was killed	muere	убит	foi morto	wurde getötet.	nie żyje	Byl zabit	öldürüldü	E' stato ucciso	
INCAPACITATED	is incapacitated	está inconsciente	лишается возможности	está incapacitado	ist kampfunfähig.	– unieszkodliwiono	je zneschopněn	sakatlandı	E' incosciente	
ITEM_GAINED	Item gained	Objeto conseguido	Предмет получен	item ganho	Gegenstand erhalten	Zyskano przedmiot	Předmět získán	Eşya kazanıldı	Oggetto ottenuto	
ITEM_LOST	Item lost	Objeto perdido	Предмет потерян	item perdido	Gegenstand verloren	Stracono przedmiot	Předmět ztracen	Eşya kaybedildi	Oggetto perso	
GOLD_GAINED	Gold gained:	Oro ganado:	Золота получено:	Moedas ganhas:	Gold erhalten:	Zebrano złota:	Získané zlaťáky:	Altin kazanıldı:	Oro guadagnato:	
GOLD_LOST	Gold lost:	Oro perdido:	Золота потрачено:	Moedas perdidas:	Gold verloren:	Stracono złota:	Ztracené zlaťáky:	Altın kaybedildi:	Oro perso:	
REPUTATION_WITH	Your reputation with	Tu reputación con	Ваша репутация в	Sua reputação com	Deine Reputation bei	Twoje stosunki z	Tvá reputace u	Şöhretin:	Tua reputazione con	
REPUTATION_CHANGED_BY	has changed by	ha cambiado en	изменилась на	mudou em	hat sich geändert um	zmieniły się o	se změnila o	Değişti	E' cambiata di	
YOU	You	Tú	Вы	Você	Du	Ty	Ty	Sen	Tu	
YOU_TARGET	you	a ti	Вас	você	dich	ty	ty	Sana	A te	
LOG_COMBAT	Display combat log	Mostrar log de combate	Показать боевой лог	Mostrar log de combate	Gefechtsprotokoll anzeigen	Pokaż dziennik walk	Obrazovka záznamu boje	Savaş bilgilerini göster	Mostra log di combattimento	
XP_GAINED	Experience gained	Experiencia conseguida	Опыта получено	Experiência ganha	Erfahrungspunkte erhalten	Zdobyte doświadczenie	Získané zkušenosti	Deneyim kazanıldı	Esperienza ottenuta	
ACHIEVEMENTS	Achievements	Logros	Достижения	Conquistas	Erfolge	Osiągnięcia	Úspěchy	Başarılar	Obiettivi	
BESTIARY	Bestiary	Bestiario	Бестиарий	Bestiário	Bestiarium	Bestiariusz	Bestiář	Canavar ilmi	Bestiario	
LEADERBOARDS	Leaderboards	Tabla de Récords	Таблица рекордов	Ranking	Bestenliste	Tablice wyników	Tabulky rekordů	Liderler Levhası	Classifica	
HEROES	Heroes of the Kingdoms	Héroes de los Reinos Exiliados	Герои Королевств	Heróis dos Reinos	Helden der Königreiche	Bohaterowie Królestw	Hrdinové království	Krallıkların Kahramanları	Eroi dei Regni Esiliati	
IRONMAN	The Iron Men of the Kingdoms	Los Hombres de Hierro de los Reinos	Стальные Люди Королевств	Os Homens de Ferro dos Reinos	Die Eisernen Männer der Königreiche	Iron Mani Królestw	Železní muži království	Krallıkların Demir Adamları	Gli Iron Men dei Regni Esiliati	
LORE	Lore	Conocimientos	Знания	Conhecimentos	Überlieferungen	Lore	Vědomosti	İrfan	Leggende	
