tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
GIRL	Girl	Chica	Девочка	Menina	Mädchen	Dziewczyna	Dívka	Kiz	Ragazza	
GUARDIAN_GOLEM	Guardian Golem	Golem Guardián	Страж Голем	Golem Guardião	Wächtergolem	Golem Obronca	Strážný golem	Golem Muhafiz 	Golem Guardiano	
KINGSBRIDGE_INN	The Bridge's Maiden	La Doncella del Puente	Дева Моста	A Donzela da Ponte	Zur Brückenschönheit	Pod panna z mostu	U Mostecké Dívky	Köprü Bakiresi	La Fanciulla del Ponte	
LANNEGAR_INN	The Sagar Rest	El Descanso de Sagar	Отдых Сагара	O Descanso de Sagar	Gasthaus im Sagar	Sagarski Sen	Sagarský Odpočívadlo	Sagar Yuvasi	Il Riposo di Sagar	
JABAL_INN	The Rusty Blade	La Espada Oxidada	Ржавый Клинок	A Espada Enferrujada	Zur Rostigen Klinge	Karczma «Rdzawe ostrze»	U Rezavé Britvy	Paslı Kılıç 	La Spada Rugginosa	
RHONEIS_INN	The Plentiful Plate	El Plato Abundante	Полное Блюдо	O Prato Farto	Zur Üppigen Tafel	Karczma «Pełny półmisek»	U Bohatého Talíře	Bol Kepçe 	Il Piatto Abbondante	
FOGAS_INN	The Last Fire	El Último Fuego	Последний Огонь	O Último Fogo	Zum Letzten Feuer	Pod ostatnim ogniem	U Posledního Ohně	Son Ates 	L'ultimo Fuoco	
SYDARUN_INN	The Singing Well	El Pozo que Canta	Поющий Колодец	O Poço que Canta	Zum Singenden Brunnen	Pod spiewajaca studnia	U Zpívající Studny	Sarki Kuyusu	Il Pozzo Canterino	
NEWANTHUR_INN	Seafarers' Pub	La Taberna del Navegante	Таверна Морехода	A Taverna do Navegante	Seefahrerkneipe	Zeglarska karczma	Námornická hospoda	Denizci Bari	La Taverna del Navigante	
NG_INN	The Imperial Inn	La Posada Imperial	Имперская Таверна	A Pousada Imperial	Kaiserliches Gasthaus	Królewska gospoda	Imperiální hospoda	Imparatorluk Hani 	La Locanda Imperiale	
NG_INN2	The Green Knight	El Caballero Verde	Зелёный Рыцарь	O Cavaleiro Verde	Zum Grünen Ritter	Pod zielonym rycerzem	U Zeleného Rytíře	Yeşil Şövalye 	Il Cavaliere Verde	
FT_INN	The Generous King	El Rey Generoso	Щедрый Король	O Rei Generoso	Zum Großzügigen König	Pod hojnym królem	U Štědrého Krále	Cömert Kral	Il Re Generoso	
FT_INN2	The Valiant King	El Rey Valiente	Доблестный Король	O Rei Valente	Zum Tapferen König	Pod chrobrym królem	U Chrabrého Rytíře	Cesur Kral	Il Re Valoroso	
NI_INN	The Sleeping Lady	La Dama Durmiente	Спящая Дама	A Dama Adormecida	Zur Schlafenden Dame	Śpiąca królewna	U Spící Dámy	Uyuyan Leydi	La Dama Addormentata	
NI_INN2	The Holy Symbol	El Símbolo Sagrado	Святой Символ	O Símbolo Sagrado	Zum Heiligen Symbol	Pod swietym symbolem	U Svatého Symbolu	Kutsal Simge	Il Simbolo Sacro	
WEAPONSMITH_DOGUS	Weaponsmith Dogus	Herrero Dogus	Кузнец Догус	Ferreiro Dogus	Waffenschmied Dogus	Miecznik Dogus	Zbrojář Dogus	Silahtar Dogus	Armaiolo Dogus	
CHANCELLOR_NEBROS	Chancellor Nebros	Canciller Nebros	Канцлер Неброс	Chanceler Nebros	Kanzler Nebros	Kanclerz Nebros	Kancléř Nebros	Sadrazam Nebros	Cancelliere Nebros	
BROTHER_JANUS	Brother Janus	Hermano Janus	Брат Янус	Irmão Janus	Bruder Janus	Brat Janus	Bratr Janus	Birader Janus	Fratello Janus	
SISTER_ARTA	Sister Arta	Hermana Arta	Сестра Арта	Irmã Arta	Schwester Arta	Siostra Arta	Sestra Arta	Şıfî Arta	Sorella Arta	
BROTHER_GUDAZAR	Brother Gudazar	Hermano Gudazar	Брат Гудазар	Irmão Gudazar	Bruder Gudazar	Brat Gudazar	Bratr Gudazar	Birader Gudazar	Fratello Gudazar	
SISTER_REMME	Sister Remme	Hermana Remme	Сестра Ремме	Irmã Remme	Schwester Remme	Siostra Remme	Sestra Remme	Şıfî Remme	Sorella Remme	
SISTER_MADA	Sister Mada	Hermana Mada	Сестра Мада	Irmã Mada	Schwester Mada	Siostra Mada	Sestra Mada	Şıfî Mada	Sorella Mada	
BROTHER_GABRIEL	Brother Gabriel	Hermano Gabriel	Брат Габриэль	Irmão Gabriel	Bruder Gabriel	Brat Gabriel	Bratr Gabriel	Birader Gabriel 	Fratello Gabriel	
MOTHER_COLLINS	Mother Collins	Madre Collins	Матушка Коллинс	Mãe Collins	Mutter Collins	Siostra przeorysza Collins	Matka Collins	Collins Ana	Madre Collins	
CAPTAIN_WRIGHT	Captain Wright	Capitán Wright	Капитан Райт	Capitão Wright	Kapitän Wright	Kapitan Wright	Kapitän Wright	Kaptan Wright	Capitán Wright	
ALCHEMIST_MARKUS	Alchemist Markus	Alquimista Markus	Алхимик Маркус	Alquimista Markus	Alchemist Markus	Alchemista Markus	Alchymista Markus	Simyager Markus	Alchimista Markus	
WEAPONSMITH_SEVAE	Weaponsmith Sevae	Herrero Sevae	Кузнец Севаэ	Ferreiro Sevae	Waffenschmied Sevae	Miecznik Sevae	Zbrojář Sevae	Silahtar Sevae	Armaiolo Sevae	
ALCHEMIST_MARELLE	Alchemist Marelle	Alquimista Marelle	Алхимик Марель	Alquimista Marelle	Alchemistin Marelle	Alchemista Marelle	Alchymista Marelle	Simyager Marelle	Alchimista Marelle	
ARMORER_GOURD	Armorer Gourd	Armero Gourd	Бронник Гурд	Armeiro Gourd	Waffenschmied Gourd	Platnerz Gourd	Zbrojář Gourd	Zırhçı Gourd	Armaiolo Gourd	
BOATMAN_ORRUS	Boatman Orrus	Barquero Orrus	Лодочник Оррус	Barqueiro Orrus	Bootsmann Orrus	Przewoznik Orrus	Převozník Orrus	Kayıkçı Orrus	Barcaiolo Orrus	
TRADER_RONUS	Trader Ronus	Mercader Ronus	Торговец Ронус	Comerciante Ronus	Händler Ronus	Handlarz Ronus	Obchodník Ronus	Tüccar Ronus	Mercante Ronus	
WEAPONSMITH_TERENA	Weaponsmith Terena	Armero Terena	Кузнец Терена	Ferreiro Terena	Waffenschmied Terena	Miecznik Terena	Zbrojářka Terena	Silahtar Terena	Armaiolo Terena	
BOATMAN_NARRIM	Boatman Narrim	Barquero Narrim	Лодочник Наррим	Barqueiro Narrim	Bootsmann Narrim	Przewoznik Narrim	Převozník Narrim	Kayıkçı Narrim	Barcaiolo Narrim	
BOATMAN_MASON	Boatman Mason	Barquero Mason	Лодочник Мейсон	Barqueiro Mason	Bootsmann Mason	Przewoznik Mason	Převozník Mason	Kayıkçı Mason	Barcaiolo Mason	
TRADER_PINK	Trader Pink	Comerciante Pink	Торговец Пинк	Comerciante Pink	Händler Pink	Handlarz Pink	Obchodník Pink	Tüccar Pink	Mercante Pink	
ARMORER_FLOYD	Armorer Floyd	Armero Floyd	Бронник Флойд	Armeiro Floyd	Waffenschmied Floyd	Platnerz Floyd	Zbrojar Floyd	Zırhçı Floyd	Armaiolo Floyd	
ALCHEMIST_TULL	Alchemist Tull	Alquimista Tull	Алхимик Талл	Alquimista Tull	Alchemistin Tull	Alchemik Tull	Alchymista Tull	Simyager Tull	Alchimista Tull	
VARSILIAN_KNIGHT	Varsilian Knight	Caballero de Varsilia	Варсилийский Рыцарь	Cavaleiro de Varsília	Varsilianischer Ritter	Varsilianski Zbrojny	Varsilijský rytíř	Varsilya Şövalyesi 	Cavaliere Varsiliano	
TRADER_WIELLE	Trader Wielle	Mercader Wielle	Торговец Вьель	Comerciante Wielle	Händlerin Wielle	Handlarz Wielle	Obchodník Wielle	Tüccar Wielle	Mercante Wielle	
ALCHEMIST_DRYONOS	Alchemist Dryonos	alquimista Dryonos	Алхимик Дрионос	Alquimista Dryonos	Alchemistin Dryonos	Alchemik Dryonos	Alchymista Dryonos	Simyager Dryonos	Alchimista Dryonos	
ORDUC_SOLLIGA	Orduc of Solliga	Orduc de Solliga	Ордук из Соллиги	Orduc de Solliga	Orduc von Solliga		Orduc de Solliga	Solligali Orduc	Orduc di Solliga	
ARMORER_REIA	Armorer Reia	Armero Reia	Бронник Рейя	Armeira Reia	Waffenschmiedin Reia	Platnerz Reia	Zbrojar Reia	Zırhçı Reia	Armaiolo Reia	
MAN_BLACK	A man in black	Hombre de negro	Человек в чёрном	Um Homem de Preto	Ein Mann in Schwarz	Czlowiek w czerni	Muž v černém	Siyahli bir adam	Uomo in nero	
TOWNSMAN	Townsman	Ciudadano	Горожанин	Cidadão	Stadtbewohner	Mieszczanin	Meštan	Kasabali	Cittadino	
GUARD	Guard	Guardia	Стражник	Guarda	Wache	Straznik	Stráž	Muhafiz 	Guardia	
GUARDIAN	Guardian	Guardián	Защитник	Guardião	Wächter	Obronca	Strážný	Muhafiz 	Guardiano	
CRATE	Crate	Cajón	Ящик	Caixote	Kiste	Skrzynia	Bedna	Kutu	Cassa	
FLOWER	Flower	Flor	Цветок	Flor	Blume	Kwiat	Kytka	Çiçek 	Fiore	
CHEST	Chest	Cofre	Сундук	Baú	Truhe	Kufer	Truhla	Sandik 	Forziere	
MIRROR	Mirror	Espejo	Зеркало	Espelho	Spiegel	Lustro	Zrcadlo	Ayna	Specchio	
CORPSE	Corpse	Cadáver	Труп	Cadáver	Leiche	Zwloki	Mrtvola	Ceset	Cadavere	
BARREL	Barrel	Barril	Бочка	Barril	Fass	Beczka	Barel	Fıçı 	Barile	
FUNGUS	Fungus	Hongos	Плесень	Fungo	Pilz	Grzyb	Houba	Mantar	Fungo	
THRONE	Throne	trono	Трон	Trono	Thron	Tron	Trun	Taht	Trono	
PRISONER	Prisoner	Prisionero	Узник	Prisioneiro	Gefangener	Wiezien	Vezen	Mahkum 	Prigioniero	
MAGIC_BARRIER	Magical barrier	Barrera mágica	Магический Барьер	Barreira Mágica	Magische Barriere	Magiczna bariera	Magická bariéra	Büyülü Bariyer	Barriera magica	
SIGNPOST	Signpost	Letrero	Табличка	Placa	Wegweiser	Znak	Rozcestník	Tabela	Segnale	
STAIRS	Stairs	Escaleras	Ступени	Escadas	Treppe	Schody	Schody	Merdiven	Scale	
NEST	Nest	Nido	Гнездо	Ninho	Nest	Gniazdo	Hnízdo	Yuva	Nido	
DOOR	Door	Puerta	Дверь	Porta	Tür	Drzwi	Dvere	Kapi 	Porta	
NOTICE	Notice	Letrero	Заметка	Aviso	Notiz	Ostrzezenie	Oznámení	Uyari 	Segnale	
SEWER	Sewer	Alcantarilla	Коллектор	Bueiro	Kanalisation	Kanal	Kanál	Lagim 	Fogna	
SARCOPHAGUS	Sarcophagus	Sarcófago	Саркофаг	Sarcófago	Sarkophag	Sarkofag	Sarkofág	Lahit	Sarcofago	
SHELF	shelf	Estante	Полка	Estante	Regal	Polička	Police	Raf	Scaffale	
HOLE_WALL	A hole in the wall	Un agujero en la pared	Дырка в стене	Um Buraco na Parede	Ein Loch in der Wand	Dziura w scianie	Škvíra ve zdi	Duvarda bir oyuk	Un buco nel muro	
GOLDEN_TREE	Golden Tree	Árbol Dorado	Золотое Древо	Árvore Dourada	Goldener Baum	Zlote drzewo	Zlatonosná jabloň	Altın Ağaç 	Albero d'Oro	
BOOK	Book	Libro	Книга	Livro	Buch	Ksiazka	Kniha	Kitap	Libro	
STATUE	Statue	Estatua	Статуя	Estátua	Statue	Rzezba	Socha	Heykel	Statua	
WALL	Wall	Muro	Стена	Parede	Mauer	Mur	Zed	Duvar	Muro	
BRAZIER	Brazier	Brasero	Жаровня	Braseiro	Kohleofen	Koksownik	Ohřívadlo	Izgara 	Braciere	
TABLE	Table	Mesa	Стол	Mesa	Tisch	Stůl	Stul	Masa	Tavola	
LEVER	Lever	Palanca	Рычаг	Alavanca	Hebel	Dzwignia	Páka	Manivela 	Leva	
EIRAMA	Eirama	Eirama	Эйрама	Eirama	Eirama	Eirama	Eirama	Eirama	Eirama	
RONAEF	Ronaéf	Ronaéf	Ронаэф	Ronaéf	Ronaéf	Ronaéf	Ronaéf	Ronaéf	Ronaéf	
JAILER	Jailer	Carcelero	Тюремщик	Carcereiro	Gefängniswärter	Straznik wiezienny	Žalářník	Gardiyan	Secondino	
LEGION_DESERTER	Legion Deserter	Legionario Desertor	Дезертир из Легиона	Legionário Desertor	Desertierter Legionär	Legionista (dezerter)	Dezertující Legionář	Lejyoner Kaçağı 	Legionario disertore	
LEGIONNAIRE_GNULBAM	Legionnaire Gnulbam	Legionario Gnulbam	Легионер Гнулбам	Legionário Gnulbam	Legionär Gnulbam	Legionista Gnulbam	Legionär Gnulbam	Lejyoner Gnulbam	Legionario Gnulbam	
DECURION_DESERTER	Decurion Deserter	Decurión Desertor	Декурион-Дезертир	Decurião Desertor	Desertierter Dekurion	Dekurion (dezerter)	Dezertující Dekurión	Süvari Kaçağı 	Decurione Disertore	
CAPTAIN_DEMETRIUS	Captain Demetrius	Capitán Demetrius	Капитан Деметрий	Capitão Demetrius	Hauptmann Demetrius	Kapitan Demetrius	Kapitán Demetrius	Kaptan Demetrius	Capitán Demetrius	
CORDELIA	Cordelia	Cordelia	Корделия	Cordélia	Cordelia	Cordelia	Cordelie	Cordelia	Cordelia	
LEONATO	Leonato	Leonato	Леонато	Leonato	Leonato	Leonato	Leonato	Leonato	Leonato	
BANQUO	Banquo	Banquo	Банко	Banquo	Banquo	Banquo	Banquo	Banquo	Banquo	
POLONIUS	Polonius	Polonius	Полоний	Polonius	Polonius	Polonius	Polonius	Polonius	Polonio	
SPECTATOR	Spectator	Espectador	Зритель	Espectador	Zuschauer	Widz	Divák	Spectator	Spettatore	
LAERTES	Laertes	Laertes	Лаэрт	Laertes	Laertes	Laertes	Laertes	Laertes	Laerte	
TRADER_OPHELIA	Trader Ophelia	Comerciante Ophelia	Торговец Офелия	Comerciante Ophelia	Händlerin Ophelia	Handlarka Ophelia	Obchodník Ophelie	Tüccar Ophelia	Mercante Ophelia	
ARMORER_ROSENCRANTZ	Trader Rosencrantz	Comerciante Rosencrantz	Купец Розенкранц	Comerciante Rosencrantz	Händler Rosencrantz	Handlarz Rosencrantz	Obchodník Rosencrantz	Tüccar Rosencrantz	Mercante Rosencrantz	
ALTAR_THREE	Altar of The Three	Altar de Los Tres	Алтарь Трёх	Altar de Os Três	Altar der Drei	Świątynia Trójcy	Oltář svaté trojice	Üçler Sunağı	Altare dei Tre	
CAPTAIN_GUILDENSTERN	Captain Guildenstern	Capitán Guildenstern	Капитан Гильденстерн	Capitão Guildenstern	Kapitán Guildenstern	Kapitan Guildenstern	Kapitán Guildenstern	Kaptan Guildenstern	Capitán Guildenstern	
BROTHER_IAGUS	Brother Iagus	Hermano Iagus	Брат Иагус	Irmão Iagus	Bruder Iagus	Brat Iagus	Bratr Iagus	Birader Lagus	Fratello Iagus	
JACHIMO	Jachimo	Jachimo	Якимо	Jachimo	Jachimo	Jachimo	Jachimo	Jachimo	Jachimo	
ALARBUS	Alarbus	Alarbus	Аларбус	Alarbus	Alarbus	Alarbus	Alarbus	Alarbus	Alarbus	
HERMIA	Hermia	Hermia	Гермия	Hermia	Hermia	Hermia	Hermia	Hermia	Hermia	
ELLEIRA	Elleira	Elleira	Эллейра	Elleira	Elleira	Elleira	Elleira	Elleira	Elleira	
GEBADI	Gebadi	Gebadi	Гебади	Gebadi	Gebadi	Gebadi	Gebadi	Gebadi	Gebadi	
HOODED_MAN	Hooded man	Encapuchado	Человек в капюшоне	Encapuzado	Vermummter Mann	Zakapturzona postac	Zahalený muž	Kapsonlu adam	Incappucciato	
BAG	Bag	Bolsa	Мешок	Bolsa	Bolsa	Torba	Taška	Çanta 	Borsa	
GLUNK	Glunk	Glunk	Глунк	Glunk	Glunk	Glunk	Glunk	Glunk	Glunk	
BROGG	Brogg	Brogg	Брогг	Brogg	Brogg	Brogg	Brogg	Brogg	Brogg	
SULIDAR	Sulidar	Sulidar	Сулидар	Sulidar	Sulidar	Sulidar	Sulidar	Sulidar	Sulidar	
TOMB	Tombstone	Tombstone	Надгробие	Lápide	Grabstein	Nagrobek	Náhrobní kámen	Mezar tasi 	Lapide	
NICHE	Niche	Nicho	Ниша	Nicho	Nische	Wneka	Výklenek	Nicho	Nicchia	
BARAHID	Barahid	Barahid	Барахид	Barahid	Barahid	Barahid	Barahid	Barahid	Barahid	
TRADER_HARDIN	Trader Hardin	Comerciante Hardin	Торговец Хардин	Comerciante Hardin	Händler Hardin	Handlarz Hardin	Obchodník Hardin	Tüccar Hardin	Mercante Hardin	
BLACKSMITH_DORNICK	Blacksmith Dornick	Herrero Dornick	Кузнец Дорник	Ferreiro Dornick	Schmied Dornick	Kowal Dornick	Kovář Dornick	Silahtar Dornick	Fabbro Dornick	
TRADER_PIRENNE	Trader Pirenne	Comerciante Pirenne	Торговец Пиренне	Comerciante Pirenne	Händler Pirenne	Handlarz Pirenne	Obchodník Pirenne	Tüccar Pirenne	Mercante Pirenne	
BROTHER_PALVER	Brother Palver	Hermano Palver	Брат Палвер	Irmão Palver	Bruder Palver	Brat Palver	Bratr Palver	Birader Palver	Fratello Palver	
CAPTAIN_PELORAT	Captain Pelorat	Capitán Pelorat	Капитан Пелорат	Capitão Pelorat	Hauptmann Pelorat	Kapitan Pelorat	Kapitán Pelorat	Kaptan Pelorat	Capitán Pelorat	
BOATMAN_CLEON	Boatman Cleon	Barquero Cleon	Лодочник Клеон	Barqueiro Cleon	Bootsmann Cleon	Przewoznik Cleon	Převozník Cleon	Kayıkçı Cleon	Barcaiolo Cleon	
RANGER_VENABILI	Ranger Venabili	Exploradora Venabili	Следопыт Венабили	Exploradora Venabili	Ranger Venabili	Straznik lesny Venabili	Průzkumník Venabili	Kolcu Venabili 	Esploratore Venabili	
SAGE_AMARYL	Sage Amaryl	Sabio Amaryl	Мудрец Амарил	Sábio Amaryl	Gelehrter Amaryl	Medrzec Amaryl	Sage Amaryl	Bilge Amaryl	Saggio Amaryl	
BISHOP_BAYTA	Bishop Bayta	Obispo Bayta	Епископ Байта	Bispo Bayta	Bischof Bayta	Biskup Bayta	Biskup Bayta	Piskopos Bayta	Vescovo Bayta	
MALLOW	Mallow	Mallow	Маллоу	Mallow	Mallow	Mallow	Mallow	Mallow	Mallow	
SELDON	Seldon	Seldon	Селдон	Seldon	Seldon	Seldon	Seldon	Seldon	Seldon	
TRAINED_CAT	Trained Sabercat	Tigre Amaestrado	Прирученный Саблезуб	Tigre Adestrado	Abgerichteter Tiger	Wytrenowany szablozeby	Trénovaný šavlozubý Tigr	Egitimli Kaplan	Tigre ammaestrata	
TRADER_NIBDAM	Trader Nibdam	Comerciante Nibdam	Торговец Нибдам	Comerciante Nibdam	Händler Nibdam	Handlarz Nibdam	Obchodník Nibdam	Tüccar Nibdam	Mercante Nibdam	
ARMORER_MORTHA	Armorer Mortha	Armera Mortha	Бронник Морта	Armeira Mortha	Waffenschmiedin Mortha	Platnerz Mortha	Zbrojar Mortha	Zırhçı Mortha	Armaiola Mortha	
SISTER_GENTA	Sister Genta	Hermana Genta	Сестра Гента	Irmã Genta	Schwester Genta	Siostra Genta	Sestra Genta	Şıfî Genta	Sorella Genta	
CAPTAIN_VLAD	Captain Vlad	Capitán Vlad	Капитан Влад	Capitão Vlad	Hauptmann Vlad	Kapitan Vlad	Kapitán Vlad	Kaptan Vlad	Capitano Vlad	
DEMONIC_ATTORNEY	Demonic Lawyer	Abogado Demoníaco	Дьявол-Адвокат	Advogado Demoníaco	Teuflischer Advokat	Adwokat Diabla	Ďáblův advokát	Avukat Iblis	Avvocato diabolico	
ADMUS	Saint Admus	San Admus	Святой Адмус	São Admus	Sankt Admus	Swiety Admus	Svatý Admus	Aziz Admus 	San Admus	
WOODSWOMAN	Woodswoman	Mujer del Bosque	Лесная Дева	Mulher do Bosque	Waldfrau	Drwal	Lesník	Oduncu Kadin 	Boscaiola	
CAPTAIN_WHITEWATER	Captain Whitewater	Capitán Whitewater	Капитан Уайтуотер	Capitão Whitewater	Hauptmann Whitewater	Kapitan Whitewater	Kapitán Whitewalker	Kaptan Whitewater	Capitán Whitewater	
TERAM	Teram	Teram	Терам	Teram	Teram	Teram	Teram	Teram	Teram	
GUARD_CHEA	Guard Chea	Guardia Chea	Стражник Чеа	Guarda Chea	Wache Chea	Straznik Chea	Stráž Chea	Muhafiz Chea	Guardia Chea	
ANTON_GERDT	Anton Gerdt	Anton Gerdt	Антон Гердт	Anton Gerdt	Anton Gerdt	Anton Gerdt	Anton Gerdt	Anton Gerdt	Anton Gerdt	
SHERYL	Sheryl	Sheryl	Шерил	Sheryl	Sheryl	Sheryl	Sheryl	Sheryl	Sheryl	
NISOR	Nisor	Nisor	Нисор	Nisor	Nisor	Nisor	Nisor	Nisor	Nisor	
CAPTAIN_TEARA	Captain Teara	Capitán Teara	Капитан Тиара	Capitã Teara	Hauptmann Teara	Kapitan Teara	Kapitán Teara	Kaptan Teara	Capitán Teara	
THEROD_NOM	Therod Nom	Therod Nom	Терод Ном	Therod Nom	Therod Nom	Therod Nom	Therod Nom	Therod Nom	Therod Nom	
ROLF_EHRAR	Rolf Ehrar	Rolf Ehrar	Рольф Эрар	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	
DRUNKARD	A drunkard	Un borracho	Пьяница	Um bêbado	Ein Säufer	Pijak	Opilec	Bir Ayyas 	Un ubriacone	
MARGHERITE	Margerithe	Margerithe	Маргерит	Margerithe	Margerithe	Margerita	Margeritha	Margerithe	Margerithe
RHUSTOXX	Rhustoxx	Rhustoxx	Rhustoxx	Rhustoxx	Rhustoxx	Rhustoxx	Rhustoxx	Rhustoxx	Rhustoxx
FURULIPO	Furulipo	Furulipo	Фурулипо	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo	
LYSSARA_COMPANION	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara
FURULIPO_COMPANION	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo	Furulipo
PVP_ARENA_MASTER	Arena Master	Maestro de Arena	Master Areny	Mestre da Arena	Arena-Meister	Mistrz Areny	Mistr Areny	Arena Ustasi	Maestro dell'Arena	
