index	type	text	text_ES	Go To	conditions	actions
1	Q	Хорошие манеры для хорошого человека, а хороший человек плохой воздух в себе держать не будет.	¿po?	0	VariableEqual#philosophy,29	"IncVariable#philosophy,1"	
1	Q	Мужчины выносливее, чем женщины. Женщина полежит немного и не выдерживает - идёт что-то делать. А мужчина лежит себе дальше и терпит.	¿po?	0	VariableEqual#philosophy,28	"IncVariable#philosophy,1"	
1	Q	Если твоё счастье не в деньгах, то отдай их мне.	¿po?	0	VariableEqual#philosophy,27	"IncVariable#philosophy,1"	
1	Q	Никогда не сдавайся, иди к своей цели! А если будет сложно – сдавайся.	¿po?	0	VariableEqual#philosophy,26	"IncVariable#philosophy,1"	
1	Q	Надо быть во всём лучше всех. Женщины вынашивает ребенка 9 месяцев. Я выношу его с одного удара.	¿po?	0	VariableEqual#philosophy,25	"IncVariable#philosophy,1"	
1	Q	В нашей жизни есть множество неопределённого и с ходу непонятного. Вот, например, очко - понятие растяжимое.	¿po?	0	VariableEqual#philosophy,24	"IncVariable#philosophy,1"	
1	Q	Не забывай это - не яйца красят человека, а человек яйца.	¿po?	0	VariableEqual#philosophy,23	"IncVariable#philosophy,1"	
1	Q	И если тебя задержат стражники, то помни, что шаг влево, шаг вправо - это два шага.	¿po?	0	VariableEqual#philosophy,22	"IncVariable#philosophy,1"	
1	Q	Мертволесье знаешь? Это я его убил.	¿po?	0	VariableEqual#philosophy,21	"IncVariable#philosophy,1"	
1	Q	И всегда в жизни всегда есть две дороги: одна - первая, а другая - вторая.	¿po?	0	VariableEqual#philosophy,20	"IncVariable#philosophy,1"	
1	Q	Вот тебе премудрость - глупый человек жалуется на дырку в кармане, а умный использует ее, чтобы почесать яйца.	¿po?	0	VariableEqual#philosophy,19	"IncVariable#philosophy,1"	
1	Q	Ты думаешь этот мир разнообразен, и в нём полно уникального народа? А вот и нет, есть лишь два типа людей: я и остальные.	¿po?	0	VariableEqual#philosophy,18	"IncVariable#philosophy,1"	
1	Q	Будь сильным - не сдавайся, если бьют - дерись, упал - поднимись, наделал кучу - уберись. В этом же нет ничего сложного?	¿po?	0	VariableEqual#philosophy,17	"IncVariable#philosophy,1"	
1	Q	Даже в нашем жестоком и несправедливом мире, не нужно быть эгоистами, в первую очередь надо думай о себе!	¿po?	0	VariableEqual#philosophy,16	"IncVariable#philosophy,1"	
1	Q	Надо чтить своих предков. Ведь как говорил мой дед: «Я твой дед».	¿po?	0	VariableEqual#philosophy,15	"IncVariable#philosophy,1"	
1	Q	Ущелье Безмолвных Королей знаешь? Это я их заткнул.	¿po?	0	VariableEqual#philosophy,14	"IncVariable#philosophy,1"	
1	Q	Вот что я хочу тебе сказать, ты помни, что всего одна ошибка - и ты ошибся.	¿po?	0	VariableEqual#philosophy,13	"IncVariable#philosophy,1"	
1	Q	В колевстве много больших лесов, в них легко можно заплутать. Но дам я тебе действенный совет, если заблудился в лесу, иди домой.	¿po?	0	VariableEqual#philosophy,12	"IncVariable#philosophy,1"	
1	Q	Вот ты думаешь, что сила в бабках? А вот и нет, сила - не в бабках. Ведь бабки - уже старые.	¿po?	0	VariableEqual#philosophy,11	"IncVariable#philosophy,1"	
1	Q	Всегда хорошо, когда есть на кого положится, ведь лучше иметь друга, чем друг друга.	¿po?	0	VariableEqual#philosophy,10	"IncVariable#philosophy,1"	
1	Q	Слушай хорошие советы от хороших людей, точнее, от меня. Так что вот тебе мой совет - запомни, а то забудешь!	¿po?	2			
2	A	Хорошо.	po.	0		"SetVariable#philosophy,10"
