index	type	text_english	text_ES	Go To	conditions	actions
16,adaon2	Q	Какая жуть! Надеюсь, ты прямо сейчас не устроишь свой обед? Подождешь, пока я не смоюсь отсюда?	port?	17			
17,outlaw	Q	Да уж, тяжко тебе жить, а вот у этого парня, я уверен, скучная будет история.	port?	18			
18,skuf	Q	[BLUE](Адаон, на которого он указал, выглядел более упитанным, явно рано облысевшим и неряшливо одетым)[] Ну и вправду, я перебрался в юности в Либерти, где и остался, завязал с грязными делами и женился на Киаре, моей подруге, мы завели детей, тихо и спокойно живём вместе уже больше десяти лет.	port?	19			
19,adaon2	Q	Да, кому-то везёт, а я застрял в странной временной петле на лесной дороге, где вынужден раз за разом встречать разных героев, грабить их, пока они спят и снова возвращаться в начало при попытке уйти оттуда!	port?	20			
20,skuf	Q	А ты пробывал никого не грабить на этой дороге?	port?	21			
21,adaon2	Q	Конечно, но тогда герой просто исчезает, а я снова возвращаюсь в начало лесной дороги!	port?	22			
22,outlaw	Q	Блин, даже такая хрень случается в жизни.	port?	23			
23,king	Q	Ты болтаешь больше всех остальных, ты, случайно, не шут в своём мире?	port?	24			
24,outlaw	Q	Не, в отличии от вас, у меня более заурядная жизни, наполненая старами-добрыми разбоями, грабежём, похищениями и насилием, пытками и убийствами, растлением малолеток и педофилией, осквернениями храмов, вообщем, все прелести разбойничьей жизни.	port?	25			
25,adaon3	Q	Похоже, все мы, Адаоны, плохие парни, не привыкшие вести честный образ жизни, но как тогда объяснить его присутствие?!	port?	26			
26,priest	Q	[BLUE](этот Адаон тоже выглядел старше остальных, имел бороду и был одет в наряд священника)[] Все мы однажды приходим к вере. И я когда-то был негодяем, пока мои дурные дела не привели к канаве, где я умирал истекая кровью наподалеку от Нивара. И вот, когда я простился со светом, я увидел Её, сама Богиня явилась мне! Был ли это сон или реальность, не важно, Она вдохнула в меня жизнь, не позволив моему сердцу замереть навсегда.	port?	27			
27,priest	Q	Священники из Нивариана нашли меня и отнесли в город, где подлатали. После выздоровления я посвятил всего себя в веру Трёх, усердно изучал все знания и обряды, помогал всем страждующим, сражался с тёмными силами, со временем во мне даже пробудились силы клерика!..	port?	28			
28,outlaw	Q	Отличная история, дедуля, обычно я привык слышать подобное речи от бродяг, просящих милостыню. Мне куда интереснее, а вот это тварь тоже один из нас?!	port?	29			
29,batrax	Q	[BLUE](существо, на которое он указал, явно было батраксом, но как ни странно, в чертах его морды можно было разглядеть схожесть с Адаоном)[] Сам ты тварь! Уж я то буду более человечным, в отличии от тебя! Я - Адаон, не удивляйтесь, в моём мире произошла крупная война между жителя суши и моря. Могучие колдуны батраксов ради победы использовали сильные чары, превращавшие людей в батраксов, и я оказался одной из жертв.	port?	30			
30,batrax	Q	Война была проиграна и чары никто не стал обращать вспять, поэтому я и остался батраксом, но расстраиваться по этому поводу я не стал, мой друг, тоже превратившийся в батракса, умудрился стать королём подводного царства и заключить мир между двумя народами. Так что, хоть я батракс, но живу в подводном дворце, где у меня есть свой гарем, и вообщем, всё у меня отлично!	port?	31			
31,outlaw	Q	Будь я лягушкой, вряд ли стал говорить, что доволен такой жизнью!	port?	32			
32,adaon2	Q	Ладно, короли, священники, убийцы, лягушки, но какого хрена, как возможно вот это?!	port?	33			
33,girl	Q	[BLUE](он указал на женщину, которая явно напоминала Адаона чертами лица)[] Ну, однажды я перешла дорогу одному очень злопамятному и мстительному магу с нездоровыми фантазиями. Не хочу снова вспоминать всё, что он вытворял со мной с помощью своих чар, но с тех пор я стала такой и вернуться в былой облик мне не удалось.	port?	34			
34,girl	Q	Но я уже давно привыкла к своему телу, нашла себе мужчину, и мы завели детей. Теперь я мирно живу, забыв про прошлую жизнь, и да, теперь я зовусь Адой.	port?	35			
35,outlaw	Q	Эх, а такой потенциал был потерян!	port?	36			
36,king	Q	Да заткнись ты уже! Эй, ты долго ещё будешь возиться с этой штукой, я всё-таки король, у меня полно дел дома, я должен вернуться как можно скорее!	port?	37			
37	A	Не отвлекайте Адаона от работы, он и так старается здесь всё быстрее.	port?	38		
38,king	Q	Да, конечно, вот только... Постой-ка! Я тебя знаю! Ты же в моём королевстве самый известный герой! Мы давно уже знакомы, поэтому я назначил тебя генералом армии Версалии. Но ты погиб во время недавней войны с Мерсией, когда прикрывал наши отступающие войска из Джабала. Я заберу тебя с собой, все наши солдаты вдохновятся, когда увидят возвращение их великого героя, и мы одолеем этих чёртовых мерсийцев!	port?	39			
39,priest	Q	Это благословение! И я узнаю тебя, самый близкий приближенной нашей святой королевы Хирджаланды, вы вместе исчезли в том ужасном короблекрушении, но после потери нашей королевы, ваше возвращение станет добрым знаком для Ильмары, а приемник королевы получит отличного наставника!	port?	40			
40,outlaw	Q	О, это ж мой главный подельник, мы двое держали в страхе все королевства, обычный люд не осмеливался называть наши имена, а короли готовы были отдать за наши головы целое состояние! Жаль, что ты погиб в той засаде, хотя мне удалось убежать... Ну что, может вернёмся и тряхнём стариной?!	port?	41			
41,batrax	Q	Я тоже узнаю тебя, мой друг, хоть ты и снова в облике человека и стал женщиной! Благодаря тебе установился мир между людьми и батраксами, хотя старые вельможи не смирились с тем, что ты стал королём подводного царства и вероломно убили тебя. Как же королева и ваши дети обрадуются вновь увидя тебя, пусть и в человеческом обличии женщины, но это можно легко исправить!	port?	42	"PlayerIsFemale#"		
41,batrax	Q	Я тоже узнаю тебя, мой друг, хоть ты и снова в облике человека! Благодаря тебе установился мир между людьми и батраксами, хотя старые вельможи не смирились с тем, что ты стал королём подводного царства и вероломно убили тебя. Как же королева и ваши дети обрадуются вновь увидя тебя, пусть и в человеческом обличии, но это можно легко исправить!	port?	42	"PlayerIsMale#"		
42,girl	Q	Ох, неужели это ты, мой муж? Тебя тоже превратили в женщину? После той ужасной чумы, унесшей твою жизнь, я и надеяться не могла, что снова с тобой увижусь!	port?	43	"PlayerIsFemale#"		
42,girl	Q	Ох, неужели это ты, мой муж? После той ужасной чумы, унесшей твою жизнь, я и надеяться не могла, что снова с тобой увижусь!	port?	43	"PlayerIsMale#"		
43,adaon2	Q	Кажется, я узнаю тебя, ты один из героев, которых мне пришлось ограбить на лесной дороге, если ты вернёшься со мной, то поможешь мне покинуть то проклятое место!	port?	44			
44,prime	Q	Я тоже тебя помню, ты тот самый герой, который должен был одеть эти доспехи. Мы вернёмся в мой мёртвый мир, и я передам их тебе и наконец-то избавлюсь от своего бремени.	port?	45			
45,adaon	Q	[BLUE](вперёд, вдруг, вышел Адаона)[] А ну отвалили от него все! Этот герой - мой, а вы своих профукали, так что идите на хер, я не собираюсь им делиться с вами!	port?	46			
46,outlaw	Q	Эй, а ты кто в этом мире?	port?	47			
47,adaon	Q	Я - герой, и вместе с моим другом мы делаем этот мир лучше!..	port?	48			
48,scientist	Q	Проклятие, я не успеваю! Он нас обнаружил!	port?	0		"NPCSpawn#magister2;SetVariable#hate_through,75"		
49,king	Q	Кто этот человек? Он выглядит опасным.	port?	50			
50,adaon	Q	Это урод, который ищет и убивает наши варианты во всех мирах.	port?	51			
51,priest	Q	К чему это насилие!?	port?	52			
52,adaon3	Q	Да, мужик, мы же можем договориться, к чему нам драться?!	port?	53			
53,outlaw	Q	Заткнитесь, слюнтяи, он не выглядит как тот, с кем можно договориться!	port?	54			
54,prime	Q	Наконец-то, достойный противник, может поглотив его, я утолю свой голод, а если погибну, то обрету покой.	port?	55			
55	A	Эй, зачем ты вообще охотишься на Адаонов?	port?	56		
56,magister2	Q	Я не собираюсь что-то объяснять обычному герою, скажу лишь одно, я тоже когда-то был на той лесной дороге. А теперь все Адаоны находящиеся в этом помещении сдохнут!	port?	57			
57,scientist	Q	Задержите его, мне нужно время, чтобы отправить его в реальность, из которой он не сможет выбраться!	port?	58			
58	A			0		"NPCHostile#magister2;SetVariable#hate_through,77"		
