tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
MOTHER_COLLINS	Mother Collins	Madre Collins	Матушка Коллинз	Mãe Collins	Mutter Collins	Siostra przeorysza Collins	Matka Collins	Collins Ana	Madre Collins	
CAPTAIN_WRIGHT	Captain Wright	Capitán Wright	Капитан Райт	Capitão Wright	Kapitän Wright	Kapitan Wright	Kapitán Wright	Kaptan Wright	Capitán Wright	
ALCHEMIST_MARKUS	Alchemist Markus	Alquimista Markus	Алхимик Маркус	Alquimista Markus	Alchemist Markus	Alchemista Markus	Alchymista Markus	Simyager Markus	Alchimista Markus	
WEAPONSMITH_SEVAE	Weaponsmith Sevae	Herrero Sevae	Кузнец Сивай	Ferreiro Sevae	Waffenschmied Sevae	Miecznik Sevae	Zbrojíř Sevae	Silahtar Sevae	Armaiolo Sevae	
ALCHEMIST_MARELLE	Alchemist Marelle	Alquimista Marelle	Алхимик Марэлла	Alquimista Marelle	Alchemistin Marelle	Alchemista Marelle	Alchymista Marelle	Simyager Marelle	Alchimista Marelle	
ARMORER_GOURD	Armorer Gourd	Armero Gourd	Бронник Гурд	Armeiro Gourd	Waffenschmied Gourd	Płatnerz Gourd	Zbrojíř Gourd	Zırhçı Gourd	Armaiolo Gourd	
BOATMAN_ORRUS	Boatman Orrus	Barquero Orrus	Лодочник Оррус	Barqueiro Orrus	Bootsmann Orrus	Przewoźnik Orrus	Převozník Orrus	Kayıkçı Orrus	Barcaiolo Orrus	
TRADER_RONUS	Trader Ronus	Mercader Ronus	Торговец Ронус	Comerciante Ronus	Händler Ronus	Handlarz Ronus	Obchodník Ronus	Tüccar Ronus	Mercante Ronus	
WEAPONSMITH_TERENA	Weaponsmith Terena	Armero Terena	Кузнец Терена	Ferreiro Terena	Waffenschmied Terena	Miecznik Terena	Zbrojířka Terena	Silahtar Terena	Armaiolo Terena	
BOATMAN_NARRIM	Boatman Narrim	Barquero Narrim	Лодочник Наррим	Barqueiro Narrim	Bootsmann Narrim	Przewoźnik Narrim	Převozník Narrim	Kayıkçı Narrim	Barcaiolo Narrim	
BOATMAN_MASON	Boatman Mason	Barquero Mason	Лодочник Мэйсон	Barqueiro Mason	Bootsmann Mason	Przewoźnik Mason	Převozník Mason	Kayıkçı Mason	Barcaiolo Mason	
TRADER_PINK	Trader Pink	Comerciante Pink	Торговец Пинк	Comerciante Pink	Händler Pink	Handlarz Pink	Obchodník Pink	Tüccar Pink	Mercante Pink	
ARMORER_FLOYD	Armorer Floyd	Armero Floyd	Бронник Флойд	Armeiro Floyd	Waffenschmied Floyd	Płatnerz Floyd	Zbrojař Floyd	Zırhçı Floyd	Armaiolo Floyd	
ALCHEMIST_TULL	Alchemist Tull	Alquimista Tull	Алхимик Тулл	Alquimista Tull	Alchemistin Tull	Alchemik Tull	Alchymista Tull	Simyager Tull	Alchimista Tull	
VARSILIAN_KNIGHT	Varsilian Knight	Caballero de Varsilia	Варсилийский Рыцарь	Cavaleiro de Varsília	Varsilianischer Ritter	Varsiliański Zbrojny	Varsilijský rytíř	Varsilya Şövalyesi 	Cavaliere Varsiliano	
TRADER_WIELLE	Trader Wielle	Mercader Wielle	Торговец Уэлль	Comerciante Wielle	Händlerin Wielle	Handlarz Wielle	Obchodník Wielle	Tüccar Wielle	Mercante Wielle	
ALCHEMIST_DRYONOS	Alchemist Dryonos	alquimista Dryonos	Алхимик Драйонос	Alquimista Dryonos	Alchemistin Dryonos	Alchemik Dryonos	Alchymista Dryonos	Simyager Dryonos	Alchimista Dryonos	
ORDUC_SOLLIGA	Orduc of Solliga	Orduc de Solliga	Ордук из Соллига	Orduc de Solliga	Orduc von Solliga		Orduc de Solliga	Solligalı Orduc	Orduc di Solliga	
ARMORER_REIA	Armorer Reia	Armero Reia	Бронник Рея	Armeira Reia	Waffenschmiedin Reia	Płatnerz Reia	Zbrojař Reia	Zırhçı Reia	Armaiolo Reia	
MAN_BLACK	A man in black	Hombre de negro	Человек в чёрном	Um Homem de Preto	Ein Mann in Schwarz	Człowiek w czerni	Muž v černém	Siyahlı bir adam	Uomo in nero	
TOWNSMAN	Townsman	Ciudadano	Горожанин	Cidadão	Stadtbewohner	Mieszczanin	Měšťan	Kasabalı	Cittadino	
GUARD	Guard	Guardia	Стража	Guarda	Wache	Strażnik	Stráž	Muhafız 	Guardia	
GUARDIAN	Guardian	Guardián	Стражник	Guardião	Wächter	Obrońca	Strážný	Muhafız 	Guardiano	
CRATE	Crate	Cajón	Ящик	Caixote	Kiste	Skrzynia	Bedna	Kutu	Cassa	
FLOWER	Flower	Flor	Цветок	Flor	Blume	Kwiat	Kytka	Çiçek 	Fiore	
CHEST	Chest	Cofre	Сундук	Baú	Truhe	Kufer	Truhla	Sandık 	Forziere	
MIRROR	Mirror	Espejo	Зеркало	Espelho	Spiegel	Lustro	Zrcadlo	Ayna	Specchio	
CORPSE	Corpse	Cadáver	Труп	Cadáver	Leiche	Zwłoki	Mrtvola	Ceset	Cadavere	
BARREL	Barrel	Barril	Бочка	Barril	Fass	Beczka	Barel	Fıçı 	Barile	
FUNGUS	Fungus	Hongos	Поганка	Fungo	Pilz	Grzyb	Houba	Mantar	Fungo	
THRONE	Throne	trono	Трон	Trono	Thron	Tron	Trůn	Taht	Trono	
PRISONER	Prisoner	Prisionero	Узник	Prisioneiro	Gefangener	Więzień	Vězeň	Mahkum 	Prigioniero	
MAGIC_BARRIER	Magical barrier	Barrera mágica	Магическая преграда	Barreira Mágica	Magische Barriere	Magiczna bariera	Magická bariéra	Büyülü Bariyer	Barriera magica	
SIGNPOST	Signpost	Letrero	Табличка	Placa	Wegweiser	Znak	Rozcestník	Tabela	Segnale	
STAIRS	Stairs	Escaleras	Ступени	Escadas	Treppe	Schody	Schody	Merdiven	Scale	
NEST	Nest	Nido	Гнездо	Ninho	Nest	Gniazdo	Hnízdo	Yuva	Nido	
DOOR	Door	Puerta	Дверь	Porta	Tür	Drzwi	Dveře	Kapı 	Porta	
NOTICE	Notice	Letrero	Записка	Aviso	Notiz	Ostrzeżenie	Oznámení	Uyarı 	Segnale	
SEWER	Sewer	Alcantarilla	Отстойник	Bueiro	Kanalisation	Kanał	Kanál	Lağım 	Fogna	
SARCOPHAGUS	Sarcophagus	Sarcófago	Саркофаг	Sarcófago	Sarkophag	Sarkofag	Sarkofág	Lahit	Sarcofago	
SHELF	shelf	Estante	Полка	Estante	Regal	Półka	Police	Raf	Scaffale	
HOLE_WALL	A hole in the wall	Un agujero en la pared	Брешь в стене	Um Buraco na Parede	Ein Loch in der Wand	Dziura w ścianie	Škvíra ve zdi	Duvarda bir oyuk	Un buco nel muro	
GOLDEN_TREE	Golden Tree	Árbol Dorado	Золотое Древо	Árvore Dourada	Goldener Baum	Złote drzewo	Zlatonosná jabloň	Altın Ağaç 	Albero d'Oro	
BOOK	Book	Libro	Книга	Livro	Buch	Książka	Kniha	Kitap	Libro	
STATUE	Statue	Estatua	Статуя	Estátua	Statue	Rzeźba	Socha	Heykel	Statua	
WALL	Wall	Muro	Стена	Parede	Mauer	Mur	Zeď	Duvar	Muro	
BRAZIER	Brazier	Brasero	Жаровня	Braseiro	Kohleofen	Koksownik	Ohřívadlo	Izgara 	Braciere	
TABLE	Table	Mesa	Стол	Mesa	Tisch	Stół	Stůl	Masa	Tavola	
LEVER	Lever	Palanca	Рычаг	Alavanca	Hebel	Dźwignia	Páka	Manivela 	Leva	
EIRAMA	Eirama	Eirama	Эйрама	Eirama	Eirama	Eirama	Eirama	Eirama	Eirama	
RONAEF	Ronaëf	Ronaëf	Ронаеф	Ronaëf	Ronaëf	Ronaëf	Ronaëf	Ronaëf	Ronaëf	
JAILER	Jailer	Carcelero	Тюремщик	Carcereiro	Gefängniswärter	Strażnik więzienny	Žalářník	Gardiyan	Secondino	
LEGION_DESERTER	Legion Deserter	Legionario Desertor	Дезертир из Легиона	Legionário Desertor	Desertierter Legionär	Legionista (dezerter)	Desertující Legionář	Lejyoner Kaçağı 	Legionario disertore	
LEGIONNAIRE_GNULBAM	Legionnaire Gnulbam	Legionario Gnulbam	Легионер Гнульбам	Legionário Gnulbam	Legionär Gnulbam	Legionista Gnulbam	Legionář Gnulbam	Lejyoner Gnulbam	Legionario Gnulbam	
DECURION_DESERTER	Decurion Deserter	Decurión Desertor	Офицер-дезертир	Decurião Desertor	Desertierter Dekurion	Dekurion (dezerter)	Desertující Degurión	Süvari Kaçağı 	Decurione Disertore	
CAPTAIN_DEMETRIUS	Captain Demetrius	Capitán Demetrius	Капитан Деметрий	Capitão Demetrius	Hauptmann Demetrius	Kapitan Demetrius	Kapitán Demetrius	Kaptan Demetrius	Capitán Demetrius	
CORDELIA	Cordelia	Cordelia	Корделия	Cordélia	Cordelia	Cordelia	Cordelie	Cordelia	Cordelia	
LEONATO	Leonato	Leonato	Леонато	Leonato	Leonato	Leonato	Leonato	Leonato	Leonato	
BANQUO	Banquo	Banquo	Банко	Banquo	Banquo	Banquo	Banquo	Banquo	Banquo	
POLONIUS	Polonius	Polonius	Полоний	Polonius	Polonius	Polonius	Polonius	Polonius	Polonio	
SPECTATOR	Spectator	Espectador	Зритель	Espectador	Zuschauer	Widz	Divák	Spectator	Spettatore	
LAERTES	Laertes	Laertes	Лаэрт	Laertes	Laertes	Laertes	Laertes	Laertes	Laerte	
TRADER_OPHELIA	Trader Ophelia	Comerciante Ophelia	Торговка Орфелия	Comerciante Ophelia	Händlerin Ophelia	Handlarka Ophelia	Obchodník Ophelie	Tüccar Ophelia	Mercante Ophelia	
ARMORER_ROSENCRANTZ	Trader Rosencrantz	Comerciante Rosencrantz	Купец Розенкранц	Comerciante Rosencrantz	Händler Rosencrantz	Handlarz Rosencrantz	Obchodník Rosencrantz	Tüccar Rosencrantz	Mercante Rosencrantz	
ALTAR_THREE	Altar of The Three	Altar de Los Tres	Алтарь Трёх	Altar de Os Três	Altar der Drei	Świątynia Trójcy	Oltář svaté trojice	Üçler Sunağı	Altare dei Tre	
CAPTAIN_GUILDENSTERN	Captain Guildenstern	Capitán Guildenstern	Капитан Гильденстерн	Capitão Guildenstern	Kapitän Guildenstern	Kapitan Guildenstern	Kapitán Guildenstern	Kaptan Guildenstern	Capitán Guildenstern	
BROTHER_IAGUS	Brother Iagus	Hermano Iagus	Брат Яго	Irmão Iagus	Bruder Iagus	Brat Iagus	Bratr Iagus	Birader Lagus	Fratello Iagus	
JACHIMO	Jachimo	Jachimo	Якимо	Jachimo	Jachimo	Jachimo	Jachimo	Jachimo	Jachimo	
ALARBUS	Alarbus	Alarbus	Аларбус	Alarbus	Alarbus	Alarbus	Alarbus	Alarbus	Alarbus	
HERMIA	Hermia	Hermia	Гермия	Hermia	Hermia	Hermia	Hermia	Hermia	Hermia	
ELLEIRA	Elleira	Elleira	Эллейра	Elleira	Elleira	Elleira	Elleira	Elleira	Elleira	
GEBADI	Gebadi	Gebadi	Джебади	Gebadi	Gebadi	Gebadi	Gebadi	Gebadi	Gebadi	
HOODED_MAN	Hooded man	Encapuchado	Подозрительный тип	Encapuzado	Vermummter Mann	Zakapturzona postać	Zahalený muž	Kapşonlu adam	Incappucciato	
BAG	Bag	Bolsa	Сумка	Bolsa	Bolsa	Torba	Taška	Çanta 	Borsa	
GLUNK	Glunk	Glunk	Гланк	Glunk	Glunk	Glunk	Glunk	Glunk	Glunk	
BROGG	Brogg	Brogg	Брогг	Brogg	Brogg	Brogg	Brogg	Brogg	Brogg	
SULIDAR	Sulidar	Sulidar	Сулидар	Sulidar	Sulidar	Sulidar	Sulidar	Sulidar	Sulidar	
TOMB	Tombstone	Tombstone	Надгробие	Lápide	Grabstein	Nagrobek	Náhrobní kámen	Mezar taşı 	Lapide	
NICHE	Niche	Nicho	Ниша	Nicho	Nische	Wnęka	Výklenek	Nicho	Nicchia	
BARAHID	Barahid	Barahid	Барахид	Barahid	Barahid	Barahid	Barahid	Barahid	Barahid	
TRADER_HARDIN	Trader Hardin	Comerciante Hardin	Торговец Хардин	Comerciante Hardin	Händler Hardin	Handlarz Hardin	Obchodník Hardin	Tüccar Hardin	Mercante Hardin	
BLACKSMITH_DORNICK	Blacksmith Dornick	Herrero Dornick	Кузнец Дорник	Ferreiro Dornick	Schmied Dornick	Kowal Dornick	Kovář Dornick	Silahtar Dornick	Fabbro Dornick	
TRADER_PIRENNE	Trader Pirenne	Comerciante Pirenne	Торговец Пиренн	Comerciante Pirenne	Händler Pirenne	Handlarz Pirenne	Obchodník Pirenne	Tüccar Pirenne	Mercante Pirenne	
BROTHER_PALVER	Brother Palver	Hermano Palver	Брат Пэлвер	Irmão Palver	Bruder Palver	Brat Palver	Bratr Palver	Birader Palver	Fratello Palver	
CAPTAIN_PELORAT	Captain Pelorat	Capitán Pelorat	Капитан Пилорат	Capitão Pelorat	Hauptmann Pelorat	Kapitan Pelorat	Kapitán Pelorat	Kaptan Pelorat	Capitán Pelorat	
BOATMAN_CLEON	Boatman Cleon	Barquero Cleon	Лодочник Клеон	Barqueiro Cleon	Bootsmann Cleon	Przewoźnik Cleon	Převozník Cleon	Kayıkçı Cleon	Barcaiolo Cleon	
RANGER_VENABILI	Ranger Venabili	Exploradora Venabili	Разведчик Венабили	Exploradora Venabili	Ranger Venabili	Strażnik leśny Venabili	Průzkumník Venabili	Kolcu Venabili 	Esploratore Venabili	
SAGE_AMARYL	Sage Amaryl	Sabio Amaryl	Мудрец Амарил	Sábio Amaryl	Gelehrter Amaryl	Mędrzec Amaryl	Sage Amaryl	Bilge Amaryl	Saggio Amaryl	
BISHOP_BAYTA	Bishop Bayta	Obispo Bayta	Епископ Байта	Bispo Bayta	Bischof Bayta	Biskup Bayta	Biskup Bayta	Piskopos Bayta	Vescovo Bayta	
MALLOW	Mallow	Mallow	Мэллоу	Mallow	Mallow	Mallow	Mallow	Mallow	Mallow	
SELDON	Seldon	Seldon	Сэлдон	Seldon	Seldon	Seldon	Seldon	Seldon	Seldon	
TRAINED_CAT	Trained Sabercat	Tigre Amaestrado	Прирученный Саблезуб	Tigre Adestrado	Abgerichteter Tiger	Wytrenowany szablozęby	Trénovaný Šavlozubý Tigr	Eğitimli Kaplan	Tigre ammaestrata	
TRADER_NIBDAM	Trader Nibdam	Comerciante Nibdam	Торговец Нибдам	Comerciante Nibdam	Händler Nibdam	Handlarz Nibdam	Obchodník Nibdam	Tüccar Nibdam	Mercante Nibdam	
ARMORER_MORTHA	Armorer Mortha	Armera Mortha	Бронник Морта	Armeira Mortha	Waffenschmiedin Mortha	Płatnerz Mortha	Zbrojař Mortha	Zırhçı Mortha	Armaiola Mortha	
SISTER_GENTA	Sister Genta	Hermana Genta	Сестра Джента	Irmã Genta	Schwester Genta	Siostra Genta	Sestra Genta	Sûfi Genta	Sorella Genta	
CAPTAIN_VLAD	Captain Vlad	Capitán Vlad	Капитан Влад	Capitão Vlad	Hauptmann Vlad	Kapitan Vlad	Kapitán Vlad	Kaptan Vlad	Capitano Vlad	
DEMONIC_ATTORNEY	Demonic Lawyer	Abogado Demoníaco	Демон-законник	Advogado Demoníaco	Teuflischer Advokat	Adwokat Diabła	Ďáblův advokát	Avukat İblis	Avvocato diabolico	
ADMUS	Saint Admus	San Admus	Святой Адмус	São Admus	Sankt Admus	Święty Admus	Svatý Admus	Aziz Admus 	San Admus	
WOODSWOMAN	Woodswoman	Mujer del Bosque	Лесовичка	Mulher do Bosque	Waldfrau	Drwal	Lesník	Oduncu Kadın 	Boscaiola	
CAPTAIN_WHITEWATER	Captain Whitewater	Capitán Whitewater	Капитан Вайтуотэр	Capitão Whitewater	Hauptmann Whitewater	Kapitan Whitewater	Kapitán Whitewalker	Kaptan Whitewater	Capitán Whitewater	
TERAM	Teram	Teram	Терам	Teram	Teram	Teram	Teram	Teram	Teram	
GUARD_CHEA	Guard Chea	Guardia Chea	Стражница Чиа	Guarda Chea	Wache Chea	Strażnik Chea	Stráž Chea	Muhafız Chea	Guardia Chea	
ANTON_GERDT	Anton Gerdt	Anton Gerdt	Антон Гердт	Anton Gerdt	Anton Gerdt	Anton Gerdt	Anton Gerdt	Anton Gerdt	Anton Gerdt	
SHERYL	Sheryl	Sheryl	Шэрил	Sheryl	Sheryl	Sheryl	Sheryl	Sheryl	Sheryl	
NISOR	Nisor	Nisor	Нисор	Nisor	Nisor	Nisor	Nisor	Nisor	Nisor	
CAPTAIN_TEARA	Captain Teara	Capitán Teara	Капитан Теара	Capitã Teara	Hauptmann Teara	Kapitan Teara	Kapitán Teara	Kaptan Teara	Capitán Teara	
THEROD_NOM	Therod Nom	Therod Nom	Терод Ном	Therod Nom	Therod Nom	Therod Nom	Therod Nom	Therod Nom	Therod Nom	
ROLF_EHRAR	Rolf Ehrar	Rolf Ehrar	Рольф Эрхар	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	Rolf Ehrar	
DRUNKARD	A drunkard	Un borracho	Пьянчуга	Um bêbado	Ein Säufer	Pijak	Opilec	Bir Ayyaş 	Un ubriacone	
MARGHERITE	Margerithe	Margerithe	Маргери	Margerithe	Margerithe	Margerita	Margeritha	Margerithe	Margerithe	
GRISENDA	Grissenda	Grissenda	Гризенда								
DRUNKEN	Dead Drunk	Dead Drunk	Мертвецки Пьяный								
BOATMAN_LEBEDINSKIJ	Boatman Lebedinskij	Barquero Orrus	Лодочник Лебединский
CAPTAIN_SEAWORTH	Captain Seaworth	Captain	Капитан Сиворт		
CAPTAIN_GREEDY	Captain Greedy	Capitán Bloodsilver	Капитан Гриди
TRADER_SIDOR	Trader Sidor	Comerciante Hardin	Торговец Сидор		
BLACKSMITH_TURNER	Blacksmith Turner	Herrero Dornick	Кузнец Токарь		
FS_INN	The Prancing Llamas	El Descanso de Sagar	Горцующие Ламы		
FS2_INN	The Cast-Iron Head	tin head	Чугунная Голова		
INN	Inn	Inn	Постоялый двор		
ELDER	Elder	Elder	Старейшина		
LADY_NEGLIGEE	Lady in Negligee	Comerciante Hardin	Дама в неглиже		
LADY_IRONSTONE	Lady Ironstone	Comerciante Hardin	Леди Айронстоун		
MAGE_RONALD	Mage Ronald	Comerciante Hardin	Волшебник Рональд		
ARMORER_BRICK	Armorer Brick	Comerciante Hardin	Оружейник Кирпич		
