item_ID	name	description	name_ES	description_ES	name_RU	desc_RU	name_PT	desc_PT	name_DE	desc_DE	name_PL	desc_PL	name_CZ	desc_CZ	name_TR	desc_TR	name_IT	desc_IT
110	Chainmail Shirt	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Camisa de mallas	Anillos de metal entrelazados, excelente protección	Кольчуга	Защищает, да и выглядит, неплохо. Немного лязгает, но это терпимо.	Camisa de Cota de Malha	Te protege e te faz parecer legal. Às vezes faz barulho, mas você se acostuma.	Kettenhemd	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolczy pancerz	Chroni i wygląda nieźle. Trochę hałasuje, ale przywykniesz do tego.	Brň - Košile	Chrání tě, vypadáš v ní skvěle. Trochu řinčí, ale zvykneš si.	Zincir Göğüslük	Sizi korur ve sizi serinleştirir. Kaburgalar biraz, ama alışırsın.	Cotta di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.
111	Chainmail Leggings	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Grebas de mallas	Anillos de metal entrelazados, excelente protección	Кольчужные штаны	Защищает, да и выглядит, неплохо. Немного лязгает, но это терпимо.	Calça de Cota de Malha	Te protege e te faz parecer legal. Às vezes faz barulho, mas você se acostuma.	Kettenhose	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolcze nogawice	Chroni i wygląda nieźle. Trochę hałasuje, ale przywykniesz do tego.	Brň - Kalhoty	Chrání tě, vypadáš v ní skvěle. Trochu řinčí, ale zvykneš si.	Zincir Bacak Zırhı	Seni korur ve sizi serinleştirir. Kaburgalar biraz, ama alışırsın.	Gambali di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.
112	Chainmail Gauntlets	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Brazales de mallas	Anillos de metal entrelazados, excelente protección	Кольчужные рукавицы	Защищает, да и выглядит, неплохо. Немного лязгает, но это терпимо.	Braceletes de Cota de Malha	Te protege e te faz parecer legal. Às vezes faz barulho, mas você se acostuma.	Kettenhandschuhe	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolcze rękawice	Chroni i wygląda nieźle. Trochę hałasuje, ale przywykniesz do tego.	Brň - Rukavice	Chrání tě, vypadáš v ní skvěle. Trochu řinčí, ale zvykneš si.	Zincir Eldiven	Seni korur ve sizi serinleştirir. Kaburgalar biraz, ama alışırsın.	Guanti di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.
113	Chainmail Boots	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Botas de mallas	Anillos de metal entrelazados, excelente protección	Кольчужные краги	Защищает, да и выглядит, неплохо. Немного лязгает, но это терпимо.	Botas de Cota de Malha	Te protege e te faz parecer legal. Às vezes faz barulho, mas você se acostuma.	Kettenstiefel	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolcze buty	Chroni i wygląda nieźle. Trochę hałasuje, ale przywykniesz do tego.	Brň - Boty	Chrání tě, vypadáš v ní skvěle. Trochu řinčí, ale zvykneš si.	Zincir Çizme	Seni korur ve sizi serinleştirir. Kaburgalar biraz, ama alışırsın.	Stivali di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.
114	Chainmail Coif	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Casco de mallas	Anillos de metal entrelazados, excelente protección	Кольчужный шлем	Защищает, да и выглядит, неплохо. Немного лязгает, но это терпимо.	Coifa de Cota de Malha	Te protege e te faz parecer legal. Às vezes faz barulho, mas você se acostuma.	Kettenhaube	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolczy kaptur	Chroni i wygląda nieźle. Trochę hałasuje, ale przywykniesz do tego.	Brň - Čapka	Chrání tě, vypadáš v ní skvěle. Trochu řinčí, ale zvykneš si.	Zincir Takke	Seni korur ve sizi serinleştirir.Biraz kınar, ama alışırsın.	Camaglio	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.
115	Platemail Vest	Heavy metal plates linked with mail.	Coraza	Pesadas placas de metal unidas por mallas	Латная кираса	Тяжёлые металлические пластины, скреплённые кольцами.	Couraça de Placa	Pesadas placas de metal unidas por uma malha.	Harnisch	Schwere, durch Ketten verbundene Metallplatten.	Płytowy pancerz	Ciężkie metalowe płyty połączone kolczugą.	Plátová zbroj - Vesta	Težké kovové pláty spojené kroužky.	Metal Yelek	Ağır metal plakalar zırh ile bağlantılıdır.	Corazza	Piastre di metallo pesante unite con maglia
116	Platemail Leggings	Heavy metal plates linked with mail.	Grebas de coraza	Pesadas placas de metal unidas por mallas	Латные набедренники	Тяжёлые металлические пластины, скреплённые кольцами.	Calças de Placa	Pesadas placas de metal unidas por uma malha.	Panzerhose	Schwere, durch Ketten verbundene Metallplatten.	Płytowe nogawice	Ciężkie metalowe płyty połączone kolczugą.	Plátová zbroj - Kalhoty	Težké kovové pláty spojené kroužky.	Metal Bacak Zırhı	Ağır metal plakalar zırh ile bağlantılıdır.	Gambali di piastre	Piastre di metallo pesante unite con maglia
117	Platemail Gauntlets	Heavy metal plates linked with mail.	Guanteletes de coraza	Pesadas placas de metal unidas por mallas	Латные рукавицы	Тяжёлые металлические пластины, скреплённые кольцами.	Braceletes de Placa	Pesadas placas de metal unidas por uma malha.	Panzerhandschuhe	Schwere, durch Ketten verbundene Metallplatten.	Płytowe rękawice	Ciężkie metalowe płyty połączone kolczugą.	Plátová zbroj - Rukavice	Težké kovové pláty spojené kroužky.	Metal Eldiven	Ağır metal plakalar zırh ile bağlantılıdır.	Guanti di piastre	Piastre di metallo pesante unite con maglia
118	Platemail Boots	Heavy metal plates linked with mail.	Botas de coraza	Pesadas placas de metal unidas por mallas	Латные сапоги	Тяжёлые металлические пластины, скреплённые кольцами.	Botas de Placa	Pesadas placas de metal unidas por uma malha.	Panzerstiefel	Schwere, durch Ketten verbundene Metallplatten.	Płytowe buty	Ciężkie metalowe płyty połączone kolczugą.	Plátová zbroj - Boty	Težké kovové pláty spojené kroužky.	Metal Çizme	Ağır metal plakalar zırh ile bağlantılıdır.	Stivali di piastre	Piastre di metallo pesante unite con maglia
119	Knight Helm	Heavy metal plates linked with mail.	Yelmo de caballero	Pesadas placas de metal unidas por mallas	Рыцарский шлем	Тяжёлые металлические пластины, скреплённые кольцами.	Elmo de Cavaleiro	Pesadas placas de metal unidas por uma malha.	Ritterhelm	Schwere, durch Ketten verbundene Metallplatten.	Hełm rycerski	Ciężkie metalowe płyty połączone kolczugą.	Rytířská Helma	Težké kovové pláty spojené kroužky.	Şövalye Miğferi	Ağır metal plakalar zırh ile bağlantılıdır.	Elmo da cavaliere	Piastre di metallo pesante unite con maglia
120	Buckler	You can't call this a shield with a straight face.	Rodela	no puedes llamar a esto 'escudo' sin reirte.	Кулачный щит	Без смеха щитом это не назвать.	Broquel	Não se pode dizer que isso é um escudo logo de cara.	Faustschild	Nicht gerade das, was man als ordentlichen Schild bezeichnen würde.	Puklerz	Nie nazwiesz tego tarczą bez śmiechu.	Pukléř	Tohle nemůžeš nazvat štítem a tvářit se vážně.	Kalkan	Bunu düz yüzlü bir kalkan olarak adlandıramazsınız.	Buckler	Non puoi chiamarlo scudo stando serio
121	Iron Shield	An iron shield.	Escudo de hierro	escudo grande y pesado	Железный щит	Большой и тяжелый щит	Escudo de Ferro	Escudo grande e pesado.	Eiserner Schild	Nun ja, ein eiserner Schild eben.	Żelazna tarcza	To żelazna tarcza.	Železný Štít	Štít ze železa.	Demir Kalkan	Demir bir kalkan.	Scudo di ferro	Uno scudo di ferro
122	Forest Chain Shirt	Light and flexible armor.	Camisa de mallas del bosque	armadura ligera y flexible	Лесная чешуя	Лёгкая и гибкая броня.	Camisa de Malha da Floresta	Armadura leve e flexível.	Kettenhemd des Waldes	Leichte und flexible Rüstung.	Leśny kolczy pancerz	Lekki i elastyczny pancerz.	Lesní brň - Košile	Lehká a ohebná zbroj.	Orman Zinciri Göğüslük	Hafif ve esnek zırh.	Giaco di maglia della foresta	Armatura leggera e flessibile
123	Forest Chain Leggings	Light and flexible armor.	Grebas de mallas del bosque	armadura ligera y flexible	Лесные чешуйчатые поножи	Лёгкая и гибкая броня.	Calça de Malha da Floresta	Armadura leve e flexível.	Kettenhose des Waldes	Leichte und flexible Rüstung.	Leśne kolcze nogawice	Lekki i elastyczny pancerz.	Lesní brň - Kalhoty	Lehká a ohebná zbroj.	Orman Zinciri Bacak Zırhı	Hafif ve esnek zırh.	Gambali di maglia della foresta	Armatura leggera e flessibile
124	Forest Chain Gauntlets	Light and flexible armor.	Brazales de mallas del bosque	armadura ligera y flexible	Лесные чешуйчатые перчатки	Лёгкая и гибкая броня.	Braceletes de Malha da Floresta	Armadura leve e flexível.	Kettenhandschuhe des Waldes	Leichte und flexible Rüstung.	Leśne kolcze nogawice	Lekki i elastyczny pancerz.	Lesní brň - Rukavice	Lehká a ohebná zbroj.	Orman Zinciri Eldiven	Hafif ve esnek zırh.	Guanti di maglia della foresta	Armatura leggera e flessibile
125	Forest Chain Boots	Light and flexible armor.	Botas de mallas del bosque	armadura ligera y flexible	Лесные чешуйчатые сапоги	Лёгкая и гибкая броня.	Botas de Malha da Floresta	Armadura leve e flexível.	Kettenstiefel des Waldes	Leichte und flexible Rüstung.	Leśne kolcze buty	Lekki i elastyczny pancerz.	Lesní brň - Boty	Lehká a ohebná zbroj.	Orman Zinciri Bot	Hafif ve esnek zırh.	Stivali di maglia della foresta	Armatura leggera e flessibile
126	Forest Chain Coif	Light and flexible armor.	Casco de mallas del bosque	armadura ligera y flexible	Лесной чешуйчатый шлем	Лёгкая и гибкая броня.	Coifa de Malha da Floresta	Armadura leve e flexível.	Kettenhaube des Waldes	Leichte und flexible Rüstung.	Leśny kolczy kaptur	Lekki i elastyczny pancerz.	Lesní brň - Čapka	Lehká a ohebná zbroj.	Orman Zinciri Külah	Hafif ve esnek zırh.	Camaglio della foresta	Armatura leggera e flessibile
127	Blessed Chain Shirt	What the good guys wear...	Camisa de mallas bendecida	lo que llevan los buenos...	Освящённая кольчуга	То, что носят хорошие парни...	Camisa de Malha Abençoada	O que os bonzinhos vestem...	Gesegnetes Kettenhemd	Was die guten Jungs tragen...	Błogosławiony kolczy pancerz	To co noszą dobrzy goście...	Posvěcená brň - Košile	Co nosí dobří chlápci...	Kutsanmış Zincir Göğüslük	Ne iyi adamlar giyer ...	Giaco di maglia benedetto	Quello che indossano i bravi ragazzi...
128	Blessed Chain Leggings	Even pants can be righteous.	Grebas de mallas bendecidas	hasta los pantalones pueden ser sagrados	Освящённые кольчужные штаны	Даже штаны могут быть праведными.	Calça de Malha Abençoada	Até as calças podem ser sagradas.	Gesegnete Kettenhose	Sogar Hosen können rechtschaffen sein.	Błogosławione kolcze nogawice	Nawet spodnie mogą być prawe.	Posvěcená brň - Kalhoty	I kalhoty mohou být poctivé.	Kutsanmış Zincir Bacak Zırhı	Pantolonlar bile dürüst olabilir.	Gambali di maglia benedetti	Anche i pantaloni possono essere santi
129	Blessed Chain Gauntlets	Smack or bless, your choice.	Brazales de mallas bendecidos	golpea o bendice, tú decides	Освящённые кольчужные рукавицы	Врежь или благослови, на твой выбор.	Braceletes de Malha Abençoada	Golpeie ou abençoe, você escolhe.	Gesegnete Kettenhandschuhe	Zuschlagen oder segnen, deine Entscheidung.	Błogosławione kolcze rękawice	Przywal lub błogosław, Twój wybór.	Posvěcená brň - Rukavice	Facka či požehnání, tvůj výběr.	Kutsanmış Zincir Eldiven	Tokatlayın ya da kutsayın, sizin tercihiniz.	Guanti di maglia benedetti	Schiaffo o benedizione, a te la scelta
130	Blessed Chain Boots	Perfect for kicking the ass of evil!	Botas de mallas bendecidas	perfecto para patear el trasero del mal!	Освящённые кольчужные краги	Отлично подходит для пинка злу под зад!	Botas de Malha Abençoada	Perfeitas para chutar o traseiro do mal!	Gesegnete Kettenstiefel	Perfekt, um dem Bösen in den Hintern zu treten.	Błogosławione kolcze buty	Idealne do kopania tyłków zła!	Posvěcená brň - Boty	Skvělé pro nakopání zla do zadku!	Kutsanmış Zincir Çizme	Kötülerin kıçını tekmelemede mükemmeldir!	Stivali di maglia benedetti	Perfetti per dar calci in culo al male!
131	Blessed Chain Coif	Important, because the bad guys are after your head...	Casco de mallas bendecido	importante, porque los malos quieren tu cabeza...	Освящённый кольчужный шлем	Важный, потому что плохим парням нужна твоя голова...	Coifa de Malha Abençoada	Importante, porque os malvados querem a sua cabeça...	Gesegnete Kettenhaube	Wichtig, da die bösen Jungs hinter deinem Kopf her sind...	Błogosławiony kolczy kaptur	Ważny, w końcu źli ludzie ciągle polują na twoją głowę...	Posvěcená brň - Čapka	Důležitá, protože zlí chlápci jdou po tvé hlavě...	Kutsanmış Zincir Takke	Önemli, çünkü kötü adamlar kafanızın peşinde ...	Camaglio benedetto	Importante, perchè i cattivi vogliono la tua testa...
132	Trollskin Cuirass	This can stop most toxic attacks. But it can't stop a few unwelcoming stares.	Peto de piel de troll	Puede parar los venenos pero... No puede detener ciertas miradas	Кираса из кожи тролля	Может прекрасно защитить от яда. Но не защитит от недружелюбных взглядов.	Couraça de Pele de Troll	Pode parar a maioria dos venenos. Mas não pode impedir alguns olhares indesejados.	Kürass aus Trollhaut	Kann die meisten Giftattacken abwehren... aber nicht die unangenehmen Blicke.	Kirys ze skóry trolla	Zatrzyma większość ataków toksycznych. Nie zatrzyma kilku nieprzyjaznych spojrzeń.	Trolnicový kyrys	Zastaví většinu jedovatých útoků. Nezabrání však několika nevítaným pohledům.	Trollderisi Göğüs Zırhı	Bu, en zehirli saldırıları durdurabilir. Ancak birkaç istenmeyen bakışı durduramaz.	Corazza di pelle di troll	Può fermare molti veleni, ma... non può fermare gli sguardi ostili
133	Trollskin Leggings	This can stop most toxic attacks. But it can't stop a few unwelcoming stares.	Grebas de piel de troll	Puede parar los venenos pero... No puede detener ciertas miradas	Штаны из кожи тролля	Может прекрасно защитить от яда. Но не защитит от недружелюбных взглядов.	Calça de Pele de Troll	Pode parar a maioria dos venenos. Mas não pode impedir alguns olhares indesejados.	Hose aus Trollhaut	Kann die meisten Giftattacken abwehren... aber nicht die unangenehmen Blicke.	Nogawice ze skóry trolla	Zatrzyma większość ataków toksycznych. Nie zatrzyma kilku nieprzyjaznych spojrzeń.	Trolnicové kalhoty	Zastaví většinu jedovatých útoků. Nezabrání však několika nevítaným pohledům.	Trollderisi Bacakkorumatik	Bu, en zehirli saldırıları durdurabilir. Ancak birkaç istenmeyen bakışı durduramaz.	Gambali di pelle di troll	Può fermare molti veleni, ma... non può fermare gli sguardi ostili
134	Trollskin Gauntlets	This can stop most toxic attacks. But it can't stop a few unwelcoming stares.	Brazales de piel de troll	Puede parar los venenos pero... No puede detener ciertas miradas	Наручи из кожи тролля	Может прекрасно защитить от яда. Но не защитит от недружелюбных взглядов.	Braceletes de Pele de Troll	Pode parar a maioria dos venenos. Mas não pode impedir alguns olhares indesejados.	Handschuhe aus Trollhaut	Kann die meisten Giftattacken abwehren... aber nicht die unangenehmen Blicke.	Rękawice ze skóry trolla	Zatrzyma większość ataków toksycznych. Nie zatrzyma kilku nieprzyjaznych spojrzeń.	Trolnicové rukavice	Zastaví většinu jedovatých útoků. Nezabrání však několika nevítaným pohledům.	Trollderisi Eldiven	Bu, en zehirli saldırıları durdurabilir. Ancak birkaç istenmeyen bakışı durduramaz.	Guanti di pelle di troll	Può fermare molti veleni, ma... non può fermare gli sguardi ostili
135	Trollskin Boots	This can stop most toxic attacks. But it can't stop a few unwelcoming stares.	Botas de piel de troll	Puede parar los venenos pero... No puede detener ciertas miradas	Сапоги из кожи тролля	Может прекрасно защитить от яда. Но не защитит от недружелюбных взглядов.	Botas de Pele de Troll	Pode parar a maioria dos venenos. Mas não pode impedir alguns olhares indesejados.	Stiefel aus Trollhaut	Kann die meisten Giftattacken abwehren... aber nicht die unangenehmen Blicke.	Buty ze skóry trolla	Zatrzyma większość ataków toksycznych. Nie zatrzyma kilku nieprzyjaznych spojrzeń.	Trolnicové boty	Zastaví většinu jedovatých útoků. Nezabrání však několika nevítaným pohledům.	Trollderisi Bot	Bu, en zehirli saldırıları durdurabilir. Ancak birkaç istenmeyen bakışı durduramaz.	Stivali di pelle di troll	Può fermare molti veleni, ma... non può fermare gli sguardi ostili
136	Trollskin Cap	This can stop most toxic attacks. But it can't stop a few unwelcoming stares.	Casco de piel de troll	Puede parar los venenos pero... No puede detener ciertas miradas	Шлем из кожи тролля	Может прекрасно защитить от яда. Но не защитит от недружелюбных взглядов.	Capacete de Pele de Troll	Pode parar a maioria dos venenos. Mas não pode impedir alguns olhares indesejados.	Kappe aus Trollhaut	Kann die meisten Giftattacken abwehren... aber nicht die unangenehmen Blicke.	Czapka ze skóry trolla	Zatrzyma większość ataków toksycznych. Nie zatrzyma kilku nieprzyjaznych spojrzeń.	Trolnicová čepice	Zastaví většinu jedovatých útoků. Nezabrání však několika nevítaným pohledům.	Trollderisi Kasket	Bu, en zehirli saldırıları durdurabilir. Ancak birkaç istenmeyen bakışı durduramaz.	Cappuccio di pelle di troll	Può fermare molti veleni, ma... non può fermare gli sguardi ostili
137	Tolassian Chain Shirt	Light and flexible armor.	Camisa de mallas Tolassian	armadura ligera y flexible	Толласийская кольчуга	Лёгкая и гибкая броня.	Camisa de Malha Tolassiana	Armadura leve e flexível.	Tolassianisches Kettenhemd	Leichte und flexible Rüstung.	Tolassjański kolczy pancerz	Lekki i elastyczny pancerz.	Tolassiánská brň - Košile	Lehká a ohebná zbroj.	Tolassian Zincir Gömlek	Hafif ve esnek zırh.	Giaco di maglia Tolassiano	Armatura leggera e flessibile
138	Tolassian Chain Leggings	Light and flexible armor.	Grebas de mallas Tolassian	armadura ligera y flexible	Толассийские набедренники	Лёгкая и гибкая броня.	Calça de Malha Tolassiana	Armadura leve e flexível.	Tolassianische Kettenhose	Leichte und flexible Rüstung.	Tolassjańskie kolcze nogawice	Lekki i elastyczny pancerz.	Tolassiánská brň - Kalhoty	Lehká a ohebná zbroj.	Tolassian Zincir Bacak Zırhı	Hafif ve esnek zırh.	Gambali di maglia Tolassiani	Armatura leggera e flessibile
139	Tolassian Chain Gauntlets	Light and flexible armor.	Brazales de mallas Tolassian	armadura ligera y flexible	Толассийские рукавицы	Лёгкая и гибкая броня.	Braceletes de Malha Tolassiana	Armadura leve e flexível.	Tolassianische Kettenhandschuhe	Leichte und flexible Rüstung.	Tolassjańskie kolcze rękawice	Lekki i elastyczny pancerz.	Tolassiánská brň - Rukavice	Lehká a ohebná zbroj.	Tolassian Zincir Eldiven	Hafif ve esnek zırh.	Guanti di maglia Tolassiani	Armatura leggera e flessibile
140	Tolassian Chain Boots	Light and flexible armor.	Botas de mallas Tolassian	armadura ligera y flexible	Толласийские сапоги	Лёгкая и гибкая броня.	Botas de Malha Tolassiana	Armadura leve e flexível.	Tolassianische Kettenstiefel	Leichte und flexible Rüstung.	Tolassjańskie kolcze buty	Lekki i elastyczny pancerz.	Tolassiánská brň - Boty	Lehká a ohebná zbroj.	Tolassian Zincir Çizme	Hafif ve esnek zırh.	Stivali di maglia Tolassiani	Armatura leggera e flessibile
141	Tolassian Chain Coif	Light and flexible armor.	Casco de mallas Tolassian	armadura ligera y flexible	Толласийский шлем	Лёгкая и гибкая броня.	Coifa de Malha Tolassiana	Armadura leve e flexível.	Tolassianische Kettenhaube	Leichte und flexible Rüstung.	Tolassjański kolczy kaptur	Lekki i elastyczny pancerz.	Tolassiánská brň - Čapka	Lehká a ohebná zbroj.	Tolassian Zincir Kasket	Hafif ve esnek zırh.	Camaglio Tolassiano	Armatura leggera e flessibile
