item_ID	name	description	name_ES	description_ES	name_RU	desc_RU	name_PT	desc_PT	name_DE	desc_DE	name_PL	desc_PL	name_CZ	desc_CZ	name_TR	desc_TR	name_IT	desc_IT	name_FR	desc_FR
110	Chainmail Shirt	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Camisa de mallas	Anillos de metal entrelazados, excelente protección	ÐšолÑŒÑ‡Ñƒга	Ð—аÑ‰иÑ‰аеÑ‚, да и вÑ‹глядиÑ‚, неплоÑ…о. Немного лязгаеÑ‚, но эÑ‚о Ñ‚еÑ€пимо.	Camisa de Cota de Malha	Te protege e te faz parecer legal. Ã€s vezes faz barulho, mas você se acostuma.	Kettenhemd	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolczy pancerz	Chroni i wyglÄ…da nieźle. TrochÄ™ haÅ‚asuje, ale przywykniesz do tego.	BrÅˆ - Košile	Chrání tÄ›, vypadáš v ní skvÄ›le. Trochu Å™inčí, ale zvykneš si.	Zincir GöÄŸüslük	Sizi korur ve sizi serinleÅŸtirir. Kaburgalar biraz, ama alıÅŸırsın.	Cotta di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.	Chainmail Shirt	Protects you, and makes you look cool. Clanks a little, but you get used to that.
111	Chainmail Leggings	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Grebas de mallas	Anillos de metal entrelazados, excelente protección	ÐšолÑŒÑ‡ÑƒжнÑ‹е ÑˆÑ‚анÑ‹	Ð—аÑ‰иÑ‰аеÑ‚, да и вÑ‹глядиÑ‚, неплоÑ…о. Немного лязгаеÑ‚, но эÑ‚о Ñ‚еÑ€пимо.	Calça de Cota de Malha	Te protege e te faz parecer legal. Ã€s vezes faz barulho, mas você se acostuma.	Kettenhose	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolcze nogawice	Chroni i wyglÄ…da nieźle. TrochÄ™ haÅ‚asuje, ale przywykniesz do tego.	BrÅˆ - Kalhoty	Chrání tÄ›, vypadáš v ní skvÄ›le. Trochu Å™inčí, ale zvykneš si.	Zincir Bacak Zırhı	Seni korur ve sizi serinleÅŸtirir. Kaburgalar biraz, ama alıÅŸırsın.	Gambali di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.	Chainmail Leggings	Protects you, and makes you look cool. Clanks a little, but you get used to that.
112	Chainmail Gauntlets	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Brazales de mallas	Anillos de metal entrelazados, excelente protección	ÐšолÑŒÑ‡ÑƒжнÑ‹е Ñ€ÑƒкавиÑ†Ñ‹	Ð—аÑ‰иÑ‰аеÑ‚, да и вÑ‹глядиÑ‚, неплоÑ…о. Немного лязгаеÑ‚, но эÑ‚о Ñ‚еÑ€пимо.	Braceletes de Cota de Malha	Te protege e te faz parecer legal. Ã€s vezes faz barulho, mas você se acostuma.	Kettenhandschuhe	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolcze rÄ™kawice	Chroni i wyglÄ…da nieźle. TrochÄ™ haÅ‚asuje, ale przywykniesz do tego.	BrÅˆ - Rukavice	Chrání tÄ›, vypadáš v ní skvÄ›le. Trochu Å™inčí, ale zvykneš si.	Zincir Eldiven	Seni korur ve sizi serinleÅŸtirir. Kaburgalar biraz, ama alıÅŸırsın.	Guanti di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.	Chainmail Gauntlets	Protects you, and makes you look cool. Clanks a little, but you get used to that.
113	Chainmail Boots	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Botas de mallas	Anillos de metal entrelazados, excelente protección	ÐšолÑŒÑ‡ÑƒжнÑ‹е кÑ€аги	Ð—аÑ‰иÑ‰аеÑ‚, да и вÑ‹глядиÑ‚, неплоÑ…о. Немного лязгаеÑ‚, но эÑ‚о Ñ‚еÑ€пимо.	Botas de Cota de Malha	Te protege e te faz parecer legal. Ã€s vezes faz barulho, mas você se acostuma.	Kettenstiefel	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolcze buty	Chroni i wyglÄ…da nieźle. TrochÄ™ haÅ‚asuje, ale przywykniesz do tego.	BrÅˆ - Boty	Chrání tÄ›, vypadáš v ní skvÄ›le. Trochu Å™inčí, ale zvykneš si.	Zincir Ã‡izme	Seni korur ve sizi serinleÅŸtirir. Kaburgalar biraz, ama alıÅŸırsın.	Stivali di maglia	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.	Chainmail Boots	Protects you, and makes you look cool. Clanks a little, but you get used to that.
114	Chainmail Coif	Protects you, and makes you look cool. Clanks a little, but you get used to that.	Casco de mallas	Anillos de metal entrelazados, excelente protección	ÐšолÑŒÑ‡ÑƒжнÑ‹й Ñˆлем	Ð—аÑ‰иÑ‰аеÑ‚, да и вÑ‹глядиÑ‚, неплоÑ…о. Немного лязгаеÑ‚, но эÑ‚о Ñ‚еÑ€пимо.	Coifa de Cota de Malha	Te protege e te faz parecer legal. Ã€s vezes faz barulho, mas você se acostuma.	Kettenhaube	Schützt dich und lässt dich cool aussehen. Es klirrt ein bisschen, aber daran gewöhnt man sich.	Kolczy kaptur	Chroni i wyglÄ…da nieźle. TrochÄ™ haÅ‚asuje, ale przywykniesz do tego.	BrÅˆ - ÄŒapka	Chrání tÄ›, vypadáš v ní skvÄ›le. Trochu Å™inčí, ale zvykneš si.	Zincir Takke	Seni korur ve sizi serinleÅŸtirir.Biraz kınar, ama alıÅŸırsın.	Camaglio	Ti protegge e ti fa sembrare fico. Sferraglia un po', ma ti ci abituerai.	Chainmail Coif	Protects you, and makes you look cool. Clanks a little, but you get used to that.
115	Platemail Vest	Heavy metal plates linked with mail.	Coraza	Pesadas placas de metal unidas por mallas	Ð›аÑ‚ная киÑ€аса	ТяжÑ‘лÑ‹е меÑ‚аллиÑ‡еские пласÑ‚инÑ‹, скÑ€еплÑ‘ннÑ‹е колÑŒÑ†ами.	Couraça de Placa	Pesadas placas de metal unidas por uma malha.	Harnisch	Schwere, durch Ketten verbundene Metallplatten.	PÅ‚ytowy pancerz	CiÄ™żkie metalowe pÅ‚yty poÅ‚Ä…czone kolczugÄ….	Plátová zbroj - Vesta	Težké kovové pláty spojené kroužky.	Metal Yelek	AÄŸır metal plakalar zırh ile baÄŸlantılıdır.	Corazza	Piastre di metallo pesante unite con maglia	Platemail Vest	Heavy metal plates linked with mail.
116	Platemail Leggings	Heavy metal plates linked with mail.	Grebas de coraza	Pesadas placas de metal unidas por mallas	Ð›аÑ‚нÑ‹е набедÑ€енники	ТяжÑ‘лÑ‹е меÑ‚аллиÑ‡еские пласÑ‚инÑ‹, скÑ€еплÑ‘ннÑ‹е колÑŒÑ†ами.	Calças de Placa	Pesadas placas de metal unidas por uma malha.	Panzerhose	Schwere, durch Ketten verbundene Metallplatten.	PÅ‚ytowe nogawice	CiÄ™żkie metalowe pÅ‚yty poÅ‚Ä…czone kolczugÄ….	Plátová zbroj - Kalhoty	Težké kovové pláty spojené kroužky.	Metal Bacak Zırhı	AÄŸır metal plakalar zırh ile baÄŸlantılıdır.	Gambali di piastre	Piastre di metallo pesante unite con maglia	Platemail Leggings	Heavy metal plates linked with mail.
117	Platemail Gauntlets	Heavy metal plates linked with mail.	Guanteletes de coraza	Pesadas placas de metal unidas por mallas	Ð›аÑ‚нÑ‹е Ñ€ÑƒкавиÑ†Ñ‹	ТяжÑ‘лÑ‹е меÑ‚аллиÑ‡еские пласÑ‚инÑ‹, скÑ€еплÑ‘ннÑ‹е колÑŒÑ†ами.	Braceletes de Placa	Pesadas placas de metal unidas por uma malha.	Panzerhandschuhe	Schwere, durch Ketten verbundene Metallplatten.	PÅ‚ytowe rÄ™kawice	CiÄ™żkie metalowe pÅ‚yty poÅ‚Ä…czone kolczugÄ….	Plátová zbroj - Rukavice	Težké kovové pláty spojené kroužky.	Metal Eldiven	AÄŸır metal plakalar zırh ile baÄŸlantılıdır.	Guanti di piastre	Piastre di metallo pesante unite con maglia	Platemail Gauntlets	Heavy metal plates linked with mail.
118	Platemail Boots	Heavy metal plates linked with mail.	Botas de coraza	Pesadas placas de metal unidas por mallas	Ð›аÑ‚нÑ‹е сапоги	ТяжÑ‘лÑ‹е меÑ‚аллиÑ‡еские пласÑ‚инÑ‹, скÑ€еплÑ‘ннÑ‹е колÑŒÑ†ами.	Botas de Placa	Pesadas placas de metal unidas por uma malha.	Panzerstiefel	Schwere, durch Ketten verbundene Metallplatten.	PÅ‚ytowe buty	CiÄ™żkie metalowe pÅ‚yty poÅ‚Ä…czone kolczugÄ….	Plátová zbroj - Boty	Težké kovové pláty spojené kroužky.	Metal Ã‡izme	AÄŸır metal plakalar zırh ile baÄŸlantılıdır.	Stivali di piastre	Piastre di metallo pesante unite con maglia	Platemail Boots	Heavy metal plates linked with mail.
119	Knight Helm	Heavy metal plates linked with mail.	Yelmo de caballero	Pesadas placas de metal unidas por mallas	РÑ‹Ñ†аÑ€ский Ñˆлем	ТяжÑ‘лÑ‹е меÑ‚аллиÑ‡еские пласÑ‚инÑ‹, скÑ€еплÑ‘ннÑ‹е колÑŒÑ†ами.	Elmo de Cavaleiro	Pesadas placas de metal unidas por uma malha.	Ritterhelm	Schwere, durch Ketten verbundene Metallplatten.	HeÅ‚m rycerski	CiÄ™żkie metalowe pÅ‚yty poÅ‚Ä…czone kolczugÄ….	RytíÅ™ská Helma	Težké kovové pláty spojené kroužky.	Åžövalye MiÄŸferi	AÄŸır metal plakalar zırh ile baÄŸlantılıdır.	Elmo da cavaliere	Piastre di metallo pesante unite con maglia	Knight Helm	Heavy metal plates linked with mail.
120	Buckler	You can't call this a shield with a straight face.	Rodela	no puedes llamar a esto 'escudo' sin reirte.	ÐšÑƒлаÑ‡нÑ‹й Ñ‰иÑ‚	Ð‘ез смеÑ…а Ñ‰иÑ‚ом эÑ‚о не назваÑ‚ÑŒ.	Broquel	Não se pode dizer que isso é um escudo logo de cara.	Faustschild	Nicht gerade das, was man als ordentlichen Schild bezeichnen würde.	Puklerz	Nie nazwiesz tego tarczÄ… bez Å›miechu.	PukléÅ™	Tohle nemůžeš nazvat štítem a tváÅ™it se vážnÄ›.	Kalkan	Bunu düz yüzlü bir kalkan olarak adlandıramazsınız.	Buckler	Non puoi chiamarlo scudo stando serio	Buckler	You can't call this a shield with a straight face.
121	Iron Shield	An iron shield.	Escudo de hierro	escudo grande y pesado	Ð–елезнÑ‹й Ñ‰иÑ‚	Ð‘олÑŒÑˆой и Ñ‚яжелÑ‹й Ñ‰иÑ‚	Escudo de Ferro	Escudo grande e pesado.	Eiserner Schild	Nun ja, ein eiserner Schild eben.	Żelazna tarcza	To żelazna tarcza.	Železný Štít	Štít ze železa.	Demir Kalkan	Demir bir kalkan.	Scudo di ferro	Uno scudo di ferro	Iron Shield	An iron shield.
122	Forest Chain Shirt	Light and flexible armor.	Camisa de mallas del bosque	armadura ligera y flexible	Ð›есная Ñ‡еÑˆÑƒя	Ð›Ñ‘гкая и гибкая бÑ€оня.	Camisa de Malha da Floresta	Armadura leve e flexível.	Kettenhemd des Waldes	Leichte und flexible Rüstung.	LeÅ›ny kolczy pancerz	Lekki i elastyczny pancerz.	Lesní brÅˆ - Košile	Lehká a ohebná zbroj.	Orman Zinciri GöÄŸüslük	Hafif ve esnek zırh.	Giaco di maglia della foresta	Armatura leggera e flessibile	Forest Chain Shirt	Light and flexible armor.
123	Forest Chain Leggings	Light and flexible armor.	Grebas de mallas del bosque	armadura ligera y flexible	Ð›еснÑ‹е Ñ‡еÑˆÑƒйÑ‡аÑ‚Ñ‹е поножи	Ð›Ñ‘гкая и гибкая бÑ€оня.	Calça de Malha da Floresta	Armadura leve e flexível.	Kettenhose des Waldes	Leichte und flexible Rüstung.	LeÅ›ne kolcze nogawice	Lekki i elastyczny pancerz.	Lesní brÅˆ - Kalhoty	Lehká a ohebná zbroj.	Orman Zinciri Bacak Zırhı	Hafif ve esnek zırh.	Gambali di maglia della foresta	Armatura leggera e flessibile	Forest Chain Leggings	Light and flexible armor.
124	Forest Chain Gauntlets	Light and flexible armor.	Brazales de mallas del bosque	armadura ligera y flexible	Ð›еснÑ‹е Ñ‡еÑˆÑƒйÑ‡аÑ‚Ñ‹е пеÑ€Ñ‡аÑ‚ки	Ð›Ñ‘гкая и гибкая бÑ€оня.	Braceletes de Malha da Floresta	Armadura leve e flexível.	Kettenhandschuhe des Waldes	Leichte und flexible Rüstung.	LeÅ›ne kolcze nogawice	Lekki i elastyczny pancerz.	Lesní brÅˆ - Rukavice	Lehká a ohebná zbroj.	Orman Zinciri Eldiven	Hafif ve esnek zırh.	Guanti di maglia della foresta	Armatura leggera e flessibile	Forest Chain Gauntlets	Light and flexible armor.
125	Forest Chain Boots	Light and flexible armor.	Botas de mallas del bosque	armadura ligera y flexible	Ð›еснÑ‹е Ñ‡еÑˆÑƒйÑ‡аÑ‚Ñ‹е сапоги	Ð›Ñ‘гкая и гибкая бÑ€оня.	Botas de Malha da Floresta	Armadura leve e flexível.	Kettenstiefel des Waldes	Leichte und flexible Rüstung.	LeÅ›ne kolcze buty	Lekki i elastyczny pancerz.	Lesní brÅˆ - Boty	Lehká a ohebná zbroj.	Orman Zinciri Bot	Hafif ve esnek zırh.	Stivali di maglia della foresta	Armatura leggera e flessibile	Forest Chain Boots	Light and flexible armor.
126	Forest Chain Coif	Light and flexible armor.	Casco de mallas del bosque	armadura ligera y flexible	Ð›есной Ñ‡еÑˆÑƒйÑ‡аÑ‚Ñ‹й Ñˆлем	Ð›Ñ‘гкая и гибкая бÑ€оня.	Coifa de Malha da Floresta	Armadura leve e flexível.	Kettenhaube des Waldes	Leichte und flexible Rüstung.	LeÅ›ny kolczy kaptur	Lekki i elastyczny pancerz.	Lesní brÅˆ - ÄŒapka	Lehká a ohebná zbroj.	Orman Zinciri Külah	Hafif ve esnek zırh.	Camaglio della foresta	Armatura leggera e flessibile	Forest Chain Coif	Light and flexible armor.
127	Blessed Chain Shirt	What the good guys wear...	Camisa de mallas bendecida	lo que llevan los buenos...	ÐžсвяÑ‰Ñ‘нная колÑŒÑ‡Ñƒга	То, Ñ‡Ñ‚о носяÑ‚ Ñ…оÑ€оÑˆие паÑ€ни...	Camisa de Malha Abençoada	O que os bonzinhos vestem...	Gesegnetes Kettenhemd	Was die guten Jungs tragen...	BÅ‚ogosÅ‚awiony kolczy pancerz	To co noszÄ… dobrzy goÅ›cie...	PosvÄ›cená brÅˆ - Košile	Co nosí dobÅ™í chlápci...	KutsanmıÅŸ Zincir GöÄŸüslük	Ne iyi adamlar giyer ...	Giaco di maglia benedetto	Quello che indossano i bravi ragazzi...	Blessed Chain Shirt	What the good guys wear...
128	Blessed Chain Leggings	Even pants can be righteous.	Grebas de mallas bendecidas	hasta los pantalones pueden ser sagrados	ÐžсвяÑ‰Ñ‘ннÑ‹е колÑŒÑ‡ÑƒжнÑ‹е ÑˆÑ‚анÑ‹	Ð”аже ÑˆÑ‚анÑ‹ могÑƒÑ‚ бÑ‹Ñ‚ÑŒ пÑ€аведнÑ‹ми.	Calça de Malha Abençoada	Até as calças podem ser sagradas.	Gesegnete Kettenhose	Sogar Hosen können rechtschaffen sein.	BÅ‚ogosÅ‚awione kolcze nogawice	Nawet spodnie mogÄ… byÄ‡ prawe.	PosvÄ›cená brÅˆ - Kalhoty	I kalhoty mohou být poctivé.	KutsanmıÅŸ Zincir Bacak Zırhı	Pantolonlar bile dürüst olabilir.	Gambali di maglia benedetti	Anche i pantaloni possono essere santi	Blessed Chain Leggings	Even pants can be righteous.
129	Blessed Chain Gauntlets	Smack or bless, your choice.	Brazales de mallas bendecidos	golpea o bendice, tú decides	ÐžсвяÑ‰Ñ‘ннÑ‹е колÑŒÑ‡ÑƒжнÑ‹е Ñ€ÑƒкавиÑ†Ñ‹	Ð’Ñ€ежÑŒ или благослови, на Ñ‚вой вÑ‹боÑ€.	Braceletes de Malha Abençoada	Golpeie ou abençoe, você escolhe.	Gesegnete Kettenhandschuhe	Zuschlagen oder segnen, deine Entscheidung.	BÅ‚ogosÅ‚awione kolcze rÄ™kawice	Przywal lub bÅ‚ogosÅ‚aw, Twój wybór.	PosvÄ›cená brÅˆ - Rukavice	Facka či požehnání, tvůj výbÄ›r.	KutsanmıÅŸ Zincir Eldiven	Tokatlayın ya da kutsayın, sizin tercihiniz.	Guanti di maglia benedetti	Schiaffo o benedizione, a te la scelta	Blessed Chain Gauntlets	Smack or bless, your choice.
130	Blessed Chain Boots	Perfect for kicking the ass of evil!	Botas de mallas bendecidas	perfecto para patear el trasero del mal!	ÐžсвяÑ‰Ñ‘ннÑ‹е колÑŒÑ‡ÑƒжнÑ‹е кÑ€аги	ÐžÑ‚лиÑ‡но подÑ…одиÑ‚ для пинка злÑƒ под зад!	Botas de Malha Abençoada	Perfeitas para chutar o traseiro do mal!	Gesegnete Kettenstiefel	Perfekt, um dem Bösen in den Hintern zu treten.	BÅ‚ogosÅ‚awione kolcze buty	Idealne do kopania tyÅ‚ków zÅ‚a!	PosvÄ›cená brÅˆ - Boty	SkvÄ›lé pro nakopání zla do zadku!	KutsanmıÅŸ Zincir Ã‡izme	Kötülerin kıçını tekmelemede mükemmeldir!	Stivali di maglia benedetti	Perfetti per dar calci in culo al male!	Blessed Chain Boots	Perfect for kicking the ass of evil!
